,publication_number,patent_title,appl_type,negative_text
10,US10166040B2,Organ resection tool,utility,"['<p id=""p-0013"" num=""0014"">The present invention mainly has two objects.</p>', '<p id=""p-0014"" num=""0015"">(Object 1)</p>', '<p id=""p-0015"" num=""0016"">As cutting tools for organs, in particular, solid organs, ultrasonic aspirators have been mainly used. However, these cutting tools cannot exhibit sufficient effects with respect to hard organs, and the hemostasis effect thereof is also insufficient. Further, these cutting tools require high-speed vibration causing cavitation, and hence the device of each tool is enlarged. A conductive wire connected to a portion of the tool, which is held by a hand of an operator, is thick and heavy, thereby imposing restrictions on operations. Further, the cutting tools are expensive.</p>', '<p id=""p-0016"" num=""0017"">Accordingly, it is an object of the present invention to provide a surgical tool capable of excising a hard solid organ such as cirrhotic liver or cutting the organ into a groove without causing bleeding.</p>', '<p id=""p-0017"" num=""0018"">(Object 2)</p>', '<p id=""p-0018"" num=""0019"">The related-art solid organ cutting tool can be used for crushing, washing away, aspirating, and cutting off a solid organ. However, thin blood vessels are also crushed to cause bleeding, and hence the hemostasis function of the related-art solid organ cutting tool is weak. Thus, bleeding occurs continuously in a surgical operation field although it is not heavy bleeding, thereby being difficult for an operator to observe the surgical operation field and to perform a surgical operation. To address this, a hemostasis operation is separately required.</p>', '<p id=""p-0019"" num=""0020"">Accordingly, it is another object of the present invention to provide a surgical tool capable of concurrently performing hemostasis while crushing a solid organ.</p>']"
11,US10166086B2,Dental therapy apparatus,utility,"['<p id=""p-0005"" num=""0004"">In the technique of Non Patent Literature 1, the laser light is emitted under driving conditions with a pulse width of 5 ns and a repetition frequency of 10 Hz, which facilitates the cutting of carious parts at a very high cutting speed. This, on the other hand, may damage intraoral soft tissues and the like.</p>', '<p id=""p-0006"" num=""0005"">It is therefore an object of the present invention to provide a dental therapy apparatus which enables a dental therapy more surely and less invasively.</p>']"
12,US10166103B2,Valve cusp sizer,utility,"['<p id=""p-0011"" num=""0010"">The conventional valve cusp sizer, however, has such a structure that the grip member is attached to each of the differently-sized sizer blocks. This structure makes the entire size of the conventional valve cusp sizer large and makes it hard to handle the conventional valve cusp sizer. That is, as shown in <figref idref=""DRAWINGS"">FIG. 8</figref> of the present invention, a long-extended grip member is necessary for the conventional valve cusp sizer, and an attachment portion for the grip member is necessary to be reserved in a sizer head. Accordingly, it is difficult to insert the sizer head of the conventional valve cusp sizer into a base of the narrow aorta. Further, it is necessary to take care not to injure a vessel wall by contacting the sizer head with the vessel wall.</p>', '<p id=""p-0012"" num=""0011"">In addition, since the conventional valve cusp sizer has the structure that the grip member is attached to each of the differently-sized sizer blocks, the capacity of a container in which a plurality of types of valve cusp sizers are accommodated becomes large as shown in, for example, FIG. 1 of Patent Document 1. In a case that the container is too large, it is difficult to keep the container at an operator\'s hand. Therefore, the plurality of types of valve cusp sizers are kept at a place far from an operation field, and a delivery of the valve cusp sizers is needed between the operator and an assistant each time when another size of valve cusp sizer is needed. Such a delivery of the valve cusp sizers results in a loss of operative time.</p>', '<p id=""p-0013"" num=""0012"">Accordingly, at the present time, a valve cusp sizer which is small and easy to handle is required.</p>']"
13,US10166154B2,"Shaped non-woven fabric for absorbent article, absorbent article including said shaped non-woven fabric, and method for manufacturing said shaped non-woven fabric",utility,"['<p id=""p-0007"" num=""0006"">However, the top sheet described in Patent Literature 1 is manufactured by heating the pin roll to a high temperature and partially softening or partially melting the nonwoven fabric contacting the protruded pin peripheral portion by heat, whereby the lower peripheral portion of the nonwoven fabric tends to be hardened, and tends to be inferior in the texture thereof. Further, in the top sheet described in Patent Literature 1, the ventilation passage in the planar direction formed by the ridge portions curved in the protruded manner and the ventilation passage in the thickness direction formed by the openings do not communicate with each other except for the gaps in the nonwoven fabric which configures the top sheet, whereby it is difficult for the air with high humidity, etc., which has moved in the planar direction on the back surface side of the top sheet to move to the front surface side of the top sheet and thus the top sheet described in Patent Literature 1 is inferior in air permeability in the thickness direction.</p>', '<p id=""p-0008"" num=""0007"">Incidentally, although the top sheet described in Patent Literature 1 includes the openings which open in the thickness direction, the openings are opened in the thickness direction of the top sheet, and the lower peripheral portions of the openings form the bottom surface of the top sheet, whereby it is difficult for the air in the back surface of the top sheet in which the openings are not present to move to the front surface of the top sheet.</p>', '<p id=""p-0009"" num=""0008"">As described above, the object of the present disclosure is to provide a nonwoven fabric which is shaped to be used for an absorbent article, having excellent, texture and excellent air permeability in the thickness direction due to ease of the air on one surface side moving to the other surface side.</p>']"
14,US10166159B2,Care robot,utility,"['<p id=""p-0007"" num=""0007"">According to the care robot disclosed in PTL 1 described above, the user is lifted and allowed to stand upright by the support member <b>19</b> moving upward. In addition, the care robot disclosed in PTL 2 described above can assist a user to switch between the non-upright position and the upright position. However, when any of these care robots assists a standing-upright motion and a sitting motion of the care receiver, the care receiver may be uncomfortable due to a standing-upright trajectory and a sitting trajectory along which the care receiver stands upright and sits.</p>', '<p id=""p-0008"" num=""0008"">The present disclosure is made in order to solve the above-described problem, and an object of the present disclosure is to provide a care robot that assists a standing-upright motion and a sitting motion of a care receiver without making the care receiver uncomfortable.</p>']"
15,US10166203B2,Pharmaceutical composition for treating cancer including 2-methoxy-4-(3-(4-methoxyphenyl)prop-1-en-1-yl)phenol as active ingredient,utility,"['<p id=""p-0009"" num=""0008"">The present inventors have successfully synthesized 2-methoxy-4-(3-(4-methoxyphenyl)propyl-1-en-1-yl)phenol capable of controlling the activity of NF-κB, IKK and STAT3, and tried to develop an effective cancer treatment agent using this compound. As a result, the inventors have experimentally verified that the compound inhibits the DNA binding activity of STAT3 in cancer cells, induces apoptosis, reduces the expression of cell cycle regulatory proteins, and effectively inhibits the growth of cancer cells and tumors in vitro and in a xenograft animal model, and completed the present disclosure.</p>', '<p id=""p-0010"" num=""0009"">Accordingly, an object of the present disclosure is to provide a pharmaceutical composition for treating cancer including 2-methoxy-4-(3-(4-methoxyphenyl)propyl-1-en-1-yl)phenol (MMPP) as an active ingredient.</p>', '<p id=""p-0011"" num=""0010"">Other objects and technical features of the present disclosure will be described in more detail by the following detailed description of the invention, claims and drawings.</p>']"
16,US10166217B2,Fungal keratitis prophylactic or therapeutic agent,utility,"['<p id=""p-0010"" num=""0011"">An object to be attained by the present invention is to find a medicament for treating keratomycosis, and further find a medicament that provides a long-lasting therapeutic effect on keratomycosis with less frequent administration than existing medicaments.</p>']"
17,US10166223B2,Pharmaceutical composition for prevention or treatment of diabetes or fatty liver comprising CYP4A inhibitor,utility,"['<p id=""p-0016"" num=""0015"">Accordingly, as a result of intensive efforts to search for a compound exhibiting the preventive or therapeutic effect on diabetes or fatty liver, the present inventors have completed the present invention after they have found that a group of compounds has activities of promoting glucose uptake into hepatocytes, inhibiting fat accumulation in liver cells, and inhibiting active oxygen production in mitochondria, and thus it can exhibit the preventive or therapeutic effect on diabetes or fatty liver.</p>', '<p id=""p-0017"" num=""0016"">Accordingly, an object of the present invention is to provide a pharmaceutical composition for the prevention or treatment of diabetes or fatty liver comprising a compound represented by the following Formula 1 or a pharmaceutically acceptable salt thereof as an active ingredient:</p>', '<p id=""p-0018"" num=""0017""><chemistry id=""CHEM-US-00001"" num=""00001"">']"
18,US10166264B2,Bacteriophage and antibacterial composition comprising the same,utility,"['<p id=""p-0012"" num=""0011"">In order to overcome problems occurring upon the misuse or overuse of broad spectrum antibiotics, such as drug resistant bacteria and drug residues in foods, the present inventors isolated a bacteriophage from natural sources, in which the bacteriophage has a specific bactericidal activity against <i>salmonella </i>causing major diseases in livestock. As a result, they found that the bacteriophage has a specific bactericidal activity against <i>Salmonella choleraesuis </i>(SC), <i>Salmonella typhimurium </i>(ST), <i>Salmonella </i>derby (SD), <i>Salmonella infantis </i>(SI) and <i>Salmonella newport </i>(SN) with no influences on beneficial bacteria, in addition to showing excellent acid- and heat-resistance, as identified for the morphological, biochemical and genetic properties thereof. Further, they found that the bacteriophage can be applied to compositions for the prevention or treatment of <i>Salmonella typhimurium</i>-mediated diseases, such as livestock <i>salmonellosis </i>and <i>Salmonella </i>food poisoning, and to various products for the effective prevention and control of <i>Salmonella </i>bacteria proliferation, including livestock feed additives, drinking water for livestock, barn sanitizers, and cleaners for meat products, thereby completing the present invention.</p>']"
19,US10166302B2,Labeling composition for cancer lesion,utility,"['<p id=""p-0008"" num=""0007"">An object of the present invention is to provide a labeling composition for a cancer lesion, including a complex in which macroaggregated albumin (MAA) is bound to a pigment for staining living tissues, radioactive isotope, or combination thereof.</p>', '<p id=""p-0009"" num=""0008"">Another object of the present invention is to provide a method for providing information about a site of a cancer lesion by using the labeling composition for a cancer lesion.</p>', '<p id=""p-0010"" num=""0009"">Still another object of the present invention is to provide a kit for labeling a cancer lesion, the kit including the labeling composition for a cancer lesion.</p>', '<p id=""p-0011"" num=""0010"">Even another object of the present invention is to provide a complex in which a pigment for staining living tissues binds to MAA included in the labeling composition for a cancer lesion.</p>']"
20,US10166324B2,Methods and system for treating arthritis,utility,"['<p id=""p-0007"" num=""0006"">When an attack of gout (severe pain) has occurred, the currently available way to deal with the attack is only to keep the patient at rest for about one day to seven days until the attack ceases by the administration of a drug, so that the patient has to bear severe pain for hours.</p>', '<p id=""p-0008"" num=""0007"">Therefore, the present disclosure addresses the above-mentioned problems, and provides an arthritis treatment method and an arthritis treatment system which can be effective for the short-term attainment of a pain relief effect.</p>']"
21,US10166377B2,Spinal treatment method and spinal treatment catheter,utility,"['<p id=""p-0006"" num=""0005"">However, through the conventional manipulations as described above, tissues, such as the bone and the intervertebral disk, are removed by resection, scraping, or the like at the treatment site; therefore, these manipulations are highly invasive. Moreover, as a result of the high invasiveness, a recovery period of the treatment site tends to be prolonged, resulting in the escalation of a medical cost.</p>', '<p id=""p-0007"" num=""0006"">The embodiments of the present disclosure have been made in the light of these problems and an objective of the embodiments is to provide a spinal treatment method and a spinal treatment catheter capable of ensuring less invasiveness and a low cost.</p>']"
22,US10166477B2,"Image processing device, image processing method, and image processing program",utility,"['<p id=""p-0004"" num=""0003"">The present inventor et al. have conceived a new technology for improving entertainingness in a game using such an actually photographed image.</p>', '<p id=""p-0005"" num=""0004"">The present invention has been made in view of such a situation. It is an object of the present invention to provide a more entertaining game.</p>']"
23,US10166480B2,Information processing apparatus,utility,"['<p id=""p-0005"" num=""0004"">With the game machine described in the above-cited PTL 1, only one user can log into the operating system (OS) of the game machine. Also, only the user who has logged into the OS can sign into the server. Thus, even where multiple users are playing the game, those other than the login user cannot win any trophy, which leaves room for improvement.</p>', '<p id=""p-0006"" num=""0005"">On the other hand, if multiple users are allowed to log into the OS of the game machine, the game involved may grant each user a trophy at the cost of very complicated user management to be performed by the game. It has thus been desired to provide arrangements that would reduce the burden on those developing video games. From the user\'s standpoint, it is inconvenient to register his or her information whenever logging into, say, a friend\'s game machine at the latter\'s place. Given the inconvenience, it has also been desired to devise arrangements that would allow users simply to play the video games.</p>', '<p id=""p-0007"" num=""0006"">The present invention has been made in view of the above circumstances and provides techniques for facilitating user management and allowing users to play video games with ease.</p>']"
24,US10166525B2,Microwave irradiating and heating device,utility,"['<p id=""p-0008"" num=""0009"">In the conventional microwave heating systems disclosed in patent literatures 1 and 2, and non patent literatures 1 and 2, microwave irradiating sources are arranged circumferentially around the reaction furnace. Thus, the microwave that is emitted from a microwave irradiating source (referred to “first microwave irradiating source” from here on) to the sample material, which is an object to be heated, but that is not absorbed by the sample material reflects on the sample material and is irradiated on another microwave irradiating source (referred to as a “second microwave irradiating source” from here on) that is arranged facing the first microwave irradiating source with respect to the reaction furnace. Because of this reflection, there arises a problem that a failure occurs on the second microwave irradiating source. Further, because the state of sample material put into the reaction furnace may be various forms, such as solid, liquid, gas and powder, according to the product to be obtained, there is a problem that the sample material gets out of the reaction furnace when the reaction furnace is not equipped with a lid.</p>', '<p id=""p-0009"" num=""0010"">The present disclosure has been made in order to solve the above-mentioned problems, and it is therefore an object of the present disclosure to provide a microwave irradiating and heating device that can confine a microwave and a sample material within the reaction furnace.</p>']"
25,US10166571B2,Refining method for microstructure,utility,"['<p id=""p-0009"" num=""0008"">An object to be achieved by the present disclosure is to provide a substrate including nano/micro structures with a minimized surface roughness and a method for manufacturing the same.</p>', '<p id=""p-0010"" num=""0009"">Another object to be achieved by the present disclosure is to provide a substrate including nano/micro structures with high reliability and a method for manufacturing the same.</p>', '<p id=""p-0011"" num=""0010"">Yet another object to be achieved by the present disclosure is to provide a substrate including flexible nano/micro structures and a method for manufacturing the same.</p>', '<p id=""p-0012"" num=""0011"">Still another object to be achieved by the present disclosure is to provide a substrate including transparent and conductive nano/micro structures and a method for manufacturing the same.</p>', '<p id=""p-0013"" num=""0012"">Still another object to be achieved by the present disclosure is to provide a refining method and a refining apparatus for a nano/micro structure with high reliability.</p>', '<p id=""p-0014"" num=""0013"">Still another object to be achieved by the present disclosure is to provide a refining method and a refining apparatus for nano/micro structures having substantially the same size.</p>', '<p id=""p-0015"" num=""0014"">Still another object to be achieved by the present disclosure is to provide a refining method and a refining apparatus for a nano/micro structure which can be simply manufactured.</p>', '<p id=""p-0016"" num=""0015"">Still another object to be achieved by the present disclosure is to provide a refining method and a refining apparatus for a nano/micro structure which can be improved in production yield.</p>', '<p id=""p-0017"" num=""0016"">Still another object to be achieved by the present disclosure is to provide a refining method and a refining apparatus for a nano/micro structure applicable to a continuous process.</p>', '<p id=""p-0018"" num=""0017"">An object to be achieved by the present disclosure is to provide a manufacturing method and a manufacturing apparatus for a nano/micro structure network which can have a substantially uniform sheet resistance.</p>', '<p id=""p-0019"" num=""0018"">Another object to be achieved by the present disclosure is to provide a manufacturing method and a manufacturing apparatus for a nano/micro structure network with a minimized resistance.</p>', '<p id=""p-0020"" num=""0019"">Yet another object to be achieved by the present disclosure is to provide a manufacturing method and a manufacturing apparatus for a nano/micro structure with minimized damage to a substrate.</p>', '<p id=""p-0021"" num=""0020"">The objects to be achieved by the present disclosure are not limited to the above-described objects.</p>']"
26,US10166580B2,"Aluminum foil, electronic device, roll-to-roll aluminum foil, and method of producing aluminum foil",utility,"['<p id=""p-0008"" num=""0007"">However, use of a conventional aluminum foil in the roll-to-roll process leads to a problem such as wrinkling or waviness.</p>', '<p id=""p-0009"" num=""0008"">The present invention has been made to solve the foregoing problem. A main object of the present invention is to provide: an aluminum foil in which occurrence of wrinkling or waviness is suppressed when the roll-to-roll process is performed; a method of producing the aluminum foil; an electronic device including the aluminum foil; and a roll-to-roll aluminum foil.</p>']"
27,US10166598B2,"Precision-casting core, precision-casting core manufacturing method, and precision-casting mold",utility,"['<p id=""p-0010"" num=""0009"">Incidentally, since the existing core is mainly manufactured in consideration of alkali solubility, a problem arises in that the high-temperature strength of the core is low. Further, in the injection molding method, a plurality of holes is formed in the surface of the core which is sintered after molding. As a result, a problem arises in that the strength is low and the core may be broken from the holes as the start points during casting.</p>', '<p id=""p-0011"" num=""0010"">Accordingly, there has been a demand for the precision-casting core the high-temperature strength of which is improved.</p>', '<p id=""p-0012"" num=""0011"">The invention is made in view of the above-described circumstance, and an object thereof is to provide a precision-casting core with improved high-temperature strength, a precision-casting core manufacturing method, and a precision-casting mold.</p>']"
28,US10166614B2,Orbital cutting apparatus capable of freely and selectively controlling plurality of cutting tools within rotating body by using rotational speed ratio,utility,"['<p id=""p-0031"" num=""0030"">The present disclosure is intended to provide an orbital cutting apparatus that is capable of freely and selectively controlling forward and backward movement of a plurality of cutting tools, allowing the cutting tools to move forward and backward and to move in an axial direction of a material to be cut so as to enable the processing of various shapes as well as cutting and chamfering, and is capable of simultaneously carrying out cutting and chamfering operations for a pipe material or a heavy pipe having a thickness of several tens of mm or more.</p>']"
29,US10166621B2,Welding device and welding system,utility,"['<p id=""p-0007"" num=""0006"">However, in the welding torch <b>100</b> shown in <figref idref=""DRAWINGS"">FIGS. 6A and 6B</figref>, since a mechanism for moving the welding torch <b>100</b> in the radial direction of the tubes <b>150</b> is incorporated into the rotary members (the rotational motion ring <b>110</b> and the vertical motion ring <b>120</b>) which are rotatable around the center axis of the tubes <b>150</b>, these rotary members are required to have a great width. For this reason, in a case where an installation such as a boiler panel including the tubes <b>150</b> arranged at small pitches is manufactured, the welding torch <b>100</b> cannot be used.</p>', '<p id=""p-0008"" num=""0007"">In view of the above-described circumstances, an object of the present invention is to provide a welding device which can move a welding torch in the radial direction of tubes and reduce the width of a rotary member which is rotatable around the center axis of the tubes. Another object of the present invention is to provide a welding system including the welding device.</p>']"
30,US10166628B2,"Three-dimensional shaping apparatus, control method thereof, and control program",utility,"['<p id=""p-0006"" num=""0005"">In the technique described in the above literature, however, it is impossible for the electron beam to perform scans at a higher speed in the regions where powder is melted.</p>', '<p id=""p-0007"" num=""0006"">The present invention enables one to provide a technique of solving the above-described problem.</p>']"
31,US10166631B2,Laser processing head apparatus with camera monitor,utility,"['<p id=""p-0008"" num=""0007"">In this apparatus, however, a strong black-body radiation-like light emission is observed in a wide wavelength range from visible light to near-infrared region in the above mentioned processing point-emitted light, and the intensity is particularly high when the processing point-emitted light is in the visible light region, hence the peak intensity of the illumination light required for imaging in the visible light region becomes high.</p>', '<p id=""p-0009"" num=""0008"">Therefore an expensive pulsed laser beam must be used as the light source for illumination, which is a problem.</p>', '<p id=""p-0010"" num=""0009"">Further, in the case of this apparatus, which uses a pulsed laser beam for the illumination light source, the imaging using the camera must be executed synchronizing with the pulse of the illumination light source. This makes system control complicated, and it is inevitable that the mutual selection of the illumination light source and the camera is restricted.</p>', '<p id=""p-0011"" num=""0010"">Furthermore, the processing point-emitted light and the processing point-reflected laser beam may cause strong halation at the processing point, making it difficult to recognize the processing point and the peripheral area thereof in the image.</p>', '<p id=""p-0012"" num=""0011"">With the foregoing in view, it is an object of the present invention to provide a laser processing head apparatus with a camera monitor, which, for instance, is low cost and can image the state of a processing point and a peripheral area thereof while reducing the influence of halation.</p>']"
32,US10166685B2,Output device and output system,utility,"['<p id=""p-0006"" num=""0005"">The above-described known art is disadvantageous in that a large force has to be applied to the operating rod using a tool such as the hexagonal wrench in order to move the operating rod in its axial direction.</p>', '<p id=""p-0007"" num=""0006"">An object of the present invention is to propose an output device to improve the above-described disadvantage.</p>']"
33,US10166763B2,"Printing apparatus, printing method and storage medium",utility,"['<p id=""p-0010"" num=""0009"">However, in a full multi-type printing apparatus for color printing, for example, as illustrated in <figref idref=""DRAWINGS"">FIG. 1</figref>, there is a possibility that an inclination error θ with respect to a direction perpendicular to the conveyance direction among plurality of print heads will occur due to installation error of the print heads. In this case, a dot arrangement such as illustrated in <figref idref=""DRAWINGS"">FIG. 4A</figref> is printed on a print medium by a print head that does not have an inclination error θ. Moreover, a dot arrangement such as illustrated in <figref idref=""DRAWINGS"">FIG. 4B</figref> is printed on a print medium by a print head that has an inclination error θ. Therefore, when printing using both of these, there is a possibility that there will be sparse and dense areas in the distribution of dots on the print medium as illustrated in <figref idref=""DRAWINGS"">FIG. 4C</figref>, and that unevenness in the image will occur.</p>', '<p id=""p-0011"" num=""0010"">As was explained above, in conventional technology that avoids the scattering of dots by setting the nozzle positions, it is possible to improve the quality at the image edge, however, there is a problem in that the uniformity of an image decreases due to external factors such as inclination error between print heads.</p>', '<p id=""p-0012"" num=""0011"">The present invention can improve the quality at the image edge and maintain uniformity of an image when there is inclination error between print heads for a printing apparatus having a plurality of print heads in which a plurality of time-share driven printing elements are arranged.</p>']"
34,US10166795B2,Tape cartridge,utility,"['<p id=""p-0006"" num=""0005"">The present inventor has found the following problems.</p>', '<p id=""p-0007"" num=""0006"">In the conventional tape cartridge, the ink ribbon is held between the ribbon guide part, which is provided in the retracting prevention part in the bending direction of the retracting prevention part, and the tip of the bent retracting prevention part. As a result, there is a risk that the feeding of the ink ribbon is hindered, for example, a wrinkle occurs in the ink ribbon.</p>', '<p id=""p-0008"" num=""0007"">An object of the present invention is to provide a tape cartridge which can suppress that a wrinkle occurs in a printing tape, and can stabilize feeding of an ink ribbon.</p>']"
35,US10166815B2,"Tire laminate, inner liner material for tire, and pneumatic tire",utility,"['<p id=""p-0007"" num=""0005"">The present inventor has made an intensive study with the aim of further improving the adhesion strength between a film of a thermoplastic resin composition and a layer of a rubber composition, and as a result has found that such an aim can be achieved by including a specific amount of a nitrile rubber containing a carboxyl group in at least one site of side chains and terminals thereof in at least one rubber component which constitutes the rubber composition, and consequently have completed the present invention. When the laminate of the present invention is vulcanized while stacking the layer of the rubber composition of the laminate with another rubber member, a vulcanization reaction also occurs between the layer of the rubber composition and the another rubber member and thereby the layer of the rubber composition and the another rubber member are firmly adhered with each other. Thus, according to the present invention, a film of a thermoplastic resin composition can be firmly adhered to another rubber member that constitutes a tire through the rubber composition comprising as a rubber component a specific amount of a nitrile rubber containing a carboxyl group in at least one site of side chains and terminals thereof.</p>']"
