,publication_number,patent_title,appl_type,negative_text
17,US10172806B2,Pharmaceutical composition having abuse deterrent properties,utility,"['<p id=""p-0019"" num=""0024"">An object of the present invention is to provide a pharmaceutical composition having abuse deterrent properties and thereby prevent the abuse of a pharmacologically active component (drug) by an abuser (abuse through nasal inhalation, abuse through injection, or abuse through nasal inhalation or injection of an extracted drug).</p>']"
18,US10172816B2,Method of treating chronic obstructive pulmonary disease (CPD) with verproside,utility,"['<p id=""p-0018"" num=""0017"">The present invention provides a pharmaceutical composition and a health food comprising the novel purified extract containing active ingredients such as catalpol derivatives from <i>Pseudolysimachion rotundum </i>var <i>subintegrum </i>or at least one compounds selected from the group consisting of veratric acid, verproside, catalposide, picroside II, isovanilloyl catalpol and 6-O-veratroyl catalpol to treat and prevent chronic obstructive pulmonary disease (COPD).</p>', '<p id=""p-0019"" num=""0018"">The present invention also provides a use of the novel purified extract containing active ingredients such as catalpol derivatives from <i>Pseudolysimachion rotundum </i>var <i>subintegrum </i>or at least one compounds selected from the group consisting of veratric acid, verproside, catalposide, picroside II, isovanilloyl catalpol and 6-O-veratroyl catalpol to treat and prevent chronic obstructive pulmonary disease (COPD).</p>', '<p id=""p-0020"" num=""0019"">The present invention also provides a method of treating or preventing chronic obstructive pulmonary disease (COPD) in a mammal comprising administering to said mammal an effective amount of the novel purified extract containing active ingredients such as catalpol derivatives from <i>Pseudolysimachion rotundum </i>var <i>subintegrum </i>or at least one compounds selected from the group consisting of veratric acid, verproside, catalposide, picroside II, isovanilloyl catalpol and 6-O-veratroyl catapol, together with a pharmaceutically acceptable carrier thereof.</p>']"
19,US10172835B2,Anticancer agent composition,utility,"['<p id=""p-0017"" num=""0035"">The present invention provides a satisfactory anticancer agent composition suppressing the growth of cancer (malignant tumor) reliably and hardly causing side effects, for example, a novel pharmaceutical composition increasing a cure rate of T-LL patient and T-AAL patient, a pharmaceutical composition for the treatment of gastric cancer, a pharmaceutical composition for the treatment of pancreatic cancer or a pharmaceutical composition for the treatment of colon cancer.</p>']"
20,US10172895B2,Pharmaceutical composition containing Sceptridium japonicum extract for preventing or treating stroke or degenerative brain diseases,utility,"['<p id=""p-0015"" num=""0014"">It is an object of the present invention to provide a pharmaceutical composition for preventing or treating strokes or degenerative brain diseases, comprising a <i>Sceptridium ternatum </i>extract as an active ingredient.</p>', '<p id=""p-0016"" num=""0015"">It is another object of the present invention to provide a health functional food for preventing or ameliorating strokes or degenerative brain diseases, comprising a <i>Sceptridium ternatum </i>extract as an active ingredient.</p>', '<p id=""p-0017"" num=""0016"">It is a further object of the present invention to provide a method for preventing or treating strokes or degenerative brain diseases, comprising administering to a subject in need thereof a composition comprising a <i>Sceptridium ternatum </i>extract as an active ingredient.</p>']"
21,US10172899B2,"Composition for preventing, treating and improving of voiding dysfunction comprising extract from Piper longum L",utility,"['<p id=""p-0013"" num=""0012"">While the present inventors have intensively studied natural products being capable of preventing, treating and improving effectively various voiding dysfunction, they have found that extract of <i>Piper Longum </i>L. is not only harmless, but also reveals outstanding effects of preventing, treating and improving voiding dysfunction by being involved in various mechanisms related to voiding dysfunction simultaneously, and thus completed the present invention.</p>', '<p id=""p-0014"" num=""0013"">Accordingly, the present invention is intended to provide a pharmaceutical composition for preventing or treating voiding dysfunction comprising extract of <i>Piper Longum </i>L. as an active ingredient.</p>', '<p id=""p-0015"" num=""0014"">Furthermore, the present invention is intended to provide a health functional food for preventing or improving voiding dysfunction comprising extract of <i>Piper Longum </i>L. as an active ingredient.</p>']"
22,US10172900B2,Composition with improved bioavailabilty of saponin and method for improving the bioavailability of saponin,utility,"['<p id=""p-0006"" num=""0005"">The present disclosure is directed to improving bioavailability of saponin.</p>']"
23,US10172943B2,Irinotecan-loaded dual-reverse thermosensitive hydrogel composition,utility,"['<p id=""p-0005"" num=""0004"">An object of the present invention is to provide a dual-reverse thermosensitive hydrogel composition having a gelation temperature of 30 to 36° C., the composition including nanoparticles including irinotecan as an active ingredient and tricaprin, triethanolamine, or a lipid mixture thereof having a melting point of 30° C. to 36° C.; poloxamer 188, poloxamer 407, or a mixture thereof; and a stabilizer, and a formulation of the dual-reverse thermosensitive hydrogel composition, thereby controlling initial burst of the drug and improving safety to body tissues.</p>']"
24,US10173145B2,Carbon dioxide separation system,utility,"['<p id=""p-0006"" num=""0005"">In the conventional carbon dioxide separation and recovery system <b>100</b> of <figref idref=""DRAWINGS"">FIG. 4</figref>, discharge devices are provided at the lower portions of at least the adsorption reactor <b>120</b>, the desorption reactor <b>130</b>, and the adsorbent dryer <b>140</b>, respectively, to adjust the amount of the adsorbent discharged from these containers and tower. The conventional carbon dioxide separation and recovery system <b>100</b> includes the hopper <b>110</b>, the adsorption reactor <b>120</b>, the desorption reactor <b>130</b>, the adsorbent dryer <b>140</b>, and the cooling tower <b>150</b>, which are arranged in a vertical direction, and the plurality of discharge devices. In this construction, it is difficult to reduce the height of the system, and hence the size of the system is unavoidably increased. In additional, the plurality of discharge devices included in the system increase cost of equipment, operation, and maintenance for these discharge devices, which is not cost-efficient.</p>', '<p id=""p-0007"" num=""0006"">In view of the above-described circumstances, an object of the present invention is to provide a carbon dioxide separation system which separates and recovers carbon dioxide from a target gas (gas to be treated) by use of an adsorbent, the system being capable of reducing a size while avoiding an increase in cost of equipment, operation, and maintenance.</p>', '<p id=""p-0008"" num=""0007"">According to an aspect of the present invention, a carbon dioxide separation system which separates carbon dioxide from a target gas by use of an adsorbent, comprises a treatment tower including: a regeneration treatment chamber in which adsorption/desorption steam is caused to contact the adsorbent having adsorbed the carbon dioxide to desorb the carbon dioxide from the adsorbent, a drying treatment chamber in which a drying gas is caused to contact the adsorbent having contacted the adsorption/desorption steam to dry the adsorbent, and an adsorption treatment chamber in which the target gas is caused to contact the adsorbent to adsorb the carbon dioxide contained in the target gas to the adsorbent, wherein the treatment tower is a treatment container of a tower shape, having a top portion from which the adsorbent is injected into the treatment container and a bottom portion from which the adsorbent is discharged, the treatment container having an inner space which is virtually dividable into the drying treatment chamber and the adsorption treatment chamber by a hindrance which hinders downward movement of the adsorbent while maintaining a bedded flow of the adsorbent, a first passage member formed with an ejection hole which ejects a gas to a lower portion of each of the drying treatment chamber and the adsorption treatment chamber, the gas being used in a treatment in the each of the drying treatment chamber and the adsorption treatment chamber, a second passage member formed with a gas discharge hole which discharges the gas having contacted the adsorbent from an upper portion of the each of the drying treatment chamber and the adsorption treatment chamber, and wherein in the adsorption treatment chamber, the gas discharge hole is opened in a gap which is formed below the hindrance and in which the adsorbent does not exist.</p>', '<p id=""p-0009"" num=""0008"">In accordance with the carbon dioxide separation system having the above-described configuration, the drying treatment chamber and the adsorption treatment chamber are provided within one treatment (processing) container. Therefore, the number of treatment containers and the number of discharge devices can be reduced, compared to a conventional system in which the discharge device is provided below the drying treatment chamber as well as the adsorption treatment chamber. With reduction of the number of treatment containers and the number of discharge devices, cost of equipment, operation and maintenance can be reduced. Further, the installation space of the discharge device can be reduced. Since the height of the system can be reduced, the size of the system can be reduced.</p>', '<p id=""p-0010"" num=""0009"">According to another aspect of the present invention, a carbon dioxide separation system which separates carbon dioxide from a target gas by use of an adsorbent, comprises: a treatment tower including: a regeneration treatment chamber in which adsorption/desorption steam is caused to contact the adsorbent having adsorbed the carbon dioxide to desorb the carbon dioxide from the adsorbent, a drying treatment chamber in which a drying gas is caused to contact the adsorbent having contacted the adsorption/desorption steam to dry the adsorbent, and an adsorption treatment chamber in which the target gas is caused to contact the adsorbent to adsorb the carbon dioxide contained in the target gas to the adsorbent, wherein the treatment tower is a treatment container of a tower shape, having a top portion from which the adsorbent is injected into the treatment container and a bottom portion from which the adsorbent is discharged, the treatment container having an inner space which is virtually dividable into the regeneration treatment chamber, the drying treatment chamber, and the adsorption treatment chamber by a plurality of hindrances disposed in a vertical direction to hinder downward movement of the adsorbent while maintaining a bedded flow of the adsorbent, the regeneration treatment chamber, the drying treatment chamber, and the adsorption treatment chamber being arranged in this order from a top to a bottom, a first passage member formed with an ejection hole which ejects a gas to a lower portion of each of the regeneration treatment chamber, the drying treatment chamber, and the adsorption treatment chamber, the gas being used in a treatment in the each of the regeneration treatment chamber, the drying treatment chamber and the adsorption treatment chamber, a second passage member formed with a gas discharge hole which discharges the gas having contacted the adsorbent from an upper portion of the each of the regeneration treatment chamber, the drying treatment chamber, and the adsorption treatment chamber, and wherein in the drying treatment chamber and the adsorption treatment chamber, the gas discharge hole is opened in a gap which is formed below each of the hindrances and in which the adsorbent does not exist.</p>', '<p id=""p-0011"" num=""0010"">In accordance with the carbon dioxide separation system having the above-described configuration, the adsorption treatment chamber, the regeneration treatment chamber, and the drying treatment chamber are provided within one treatment (processing) container, and one discharge device is provided at the lower portion of the treatment container. Therefore, the number of discharge devices can be reduced, compared to a conventional system in which the discharge device is provided at the lower portion of each of the treatment chambers. With reduction of the number of the discharge devices, manufacturing cost and operation cost of the discharge devices can be reduced. In addition, the installation of the discharge device can be reduced, and the height of the system can be reduced. As a result, the size of the system can be reduced.</p>', '<p id=""p-0012"" num=""0011"">In the above-described carbon dioxide separation system, the hindrance may include a taper portion which reduces in a downward direction an area of a passage through which the adsorbent flows. In this case, an angle formed between a generatrix of a taper surface of the taper portion and a vertical direction is desirably larger than 0 degree and less than 60 degrees. In the above-described carbon dioxide separation system, the hindrance may include a plurality of rod-like elements arranged in a direction that is substantially perpendicular to a movement direction of the adsorbent.</p>', '<p id=""p-0013"" num=""0012"">In accordance with the above-described carbon dioxide separation system, it becomes possible to realize the hindrance which is capable of maintaining the movement of the adsorbent from the upper treatment chamber to the lower treatment chamber while limiting the movement of the gas from the lower treatment chamber to the upper treatment chamber, with a simple structure and without a need for driving power. As a result, an increase in cost of equipment, operation and maintenance of the carbon dioxide separation system can be reduced.</p>']"
25,US10173182B2,"Nucleic acid amplification device, nucleic acid amplification apparatus, and nucleic acid amplification method for transporting reaction solution including target nucleic acid via capillary force to amplify target nucleic acid",utility,"['<p id=""p-0008"" num=""0007"">However, with the above-described conventional microfluidic device, use of an external pump such as a syringe pump to advance the reaction solution in the channel is required. Use of an external pump is accompanied by problems such as the need to connect the pump and the channel together by hand, an increase in the size of the system, and an increase in cost.</p>', '<p id=""p-0009"" num=""0008"">The present invention was conceived to solve the above-described problem and has an object to provide, for example, a nucleic acid amplification device that can advance the reaction solution in the channel without the use of a pump.</p>']"
26,US10173212B2,Method for regenerating hydrogenation catalyst for phthalate compound,utility,"['<p id=""p-0007"" num=""0006"">It is an object of the present invention to provide a method for regenerating a hydrogenation catalyst for a phthalate compound, capable of regenerating activity of the catalyst in a reactor through supply of alcohol without recovering the catalyst in the reactor during the hydrogenation reaction of the phthalate compound, thereby prolonging the lifetime of the catalyst by restoring the performance of the catalyst, and thereby improving the process operation cost, the operational stability, and the economic efficiency of the process.</p>']"
27,US10173229B2,Electrostatic atomizing device,utility,"['<p id=""p-0007"" num=""0006"">However, a conventional technique has the following problem.</p>', '<p id=""p-0008"" num=""0007"">Generally, an electrostatic atomizing device is configured such that an electric field is formed between two electrodes (a pin and a capillary) by application of a voltage across the electrodes. In this case, the electric field is oriented in a direction in which a pin extends, and thus an atomized substance is easily atomized in the direction in which the pin extends, i.e., in a direction to the electrostatic atomizing device (hereinafter, this phenomenon is referred to as a spray-back). The electrostatic atomizing device whose device surface is wet by the spray-back causes a hand of a user with which hand the electrostatic atomizing device is being held to be wet. The electrostatic atomizing device is sometimes used for, for example, atomization of aromatic oil, a chemical substance for an agricultural product, a medicine, an agricultural chemical, a pesticide, and an air cleaning agent. Thus, the spray-back to the device surface is preferably smaller.</p>', '<p id=""p-0009"" num=""0008"">In this regard, the technique of Patent Literature 1 does not refer to prevention of the spray-back to the device surface.</p>', '<p id=""p-0010"" num=""0009"">The present invention has been made in view of the problem, and an object of the present invention is to provide an electrostatic atomizing device which allows a reduction in ratio in which an atomized substance adheres to a device surface of the electrostatic atomizing device.</p>']"
28,US10173242B2,"Method of manufacturing aromatic polyketone film, aromatic polyketone film, substrate provided with aromatic polyketone film, optical element, and image display device",utility,"['<p id=""p-0007"" num=""0005"">JP-A No. 2005-272728 discloses a cast film made of an aromatic polyketone, which is used as a separator for an electric double layer capacitor, after immersing the film in water and then heating the film at 60° C. for drying. Since this film is microporous and thus has low strength, it is difficult to use the film as a hard coat.</p>', '<p id=""p-0008"" num=""0006"">The aromatic polyketone disclosed in JP-A No. 2013-53194 is transparent, and accordingly, application thereof as a hard coat can be expected. However, the relationship between film forming conditions and strength of a film made of the aromatic polyketone is not clearly disclosed.</p>', '<p id=""p-0009"" num=""0007"">The present invention has been made in view of such circumstances, and aims to provide: a method of manufacturing an aromatic polyketone film having improved strength, and excellent transparency and heat resistance; an aromatic polyketone film obtained by the method of manufacturing an aromatic polyketone film; a substrate provided with an aromatic polyketone film having the aromatic polyketone film; as well as an optical element and an image processing device having the substrate.</p>']"
29,US10173282B2,Bonded body and power module substrate,utility,"['<p id=""p-0008"" num=""0007"">As disclosed in PTL 1, when the ceramic substrate and the Cu foil are bonded to each other through the Cu—Mg—Ti brazing filler material, an intermetallic compound containing Cu, Mg, or Ti is formed in the vicinity of the ceramic substrate.</p>', '<p id=""p-0009"" num=""0008"">Since the intermetallic compound formed in the vicinity of the ceramic substrate is rigid, when the power module substrate undergoes a thermal cycle, thermal stress generating in the ceramic substrate is increased, and cracking is likely to occur in the ceramic substrate, which is a problem. In addition, since the above-mentioned intermetallic compound layer is brittle, when the power module substrate undergoes a thermal cycle, the intermetallic compound is broken, the bonding rate between the ceramic substrate and the circuit layer is decreased, and the reliability of bonding therebetween decreases, which is a problem.</p>', '<p id=""p-0010"" num=""0009"">In particular, recently, power modules are used under severe environments, and conditions of thermal cycles are getting more severe. Thus, in the power module substrate, there are tendencies that cracking is likely to occur in the ceramic substrate and the reliability of bonding between the ceramic substrate and the circuit layer is likely to decrease.</p>', '<p id=""p-0011"" num=""0010"">The present invention is made in light of these problems, and an object of the invention is to provide a bonded body and a power module substrate in which the occurrence of cracking in a ceramic member can be limited when the bonded body and the power module substrate undergo a thermal cycle, and the reliability of bonding between the ceramic member and a Cu member can be improved.</p>']"
30,US10173347B2,"Optical lens, optical lens production device and production method",utility,"['<p id=""p-0009"" num=""0008"">The present invention has been made in consideration of the aforementioned situations, and an object of the present invention is to provide an optical lens production method and an optical lens production device, which efficiently increase a yield of an optical lens to be produced by an optical lens production method using a photocurable resin.</p>']"
