,publication_number,patent_title,appl_type,negative_text
16,US10201873B2,Friction stir spot welding device and friction stir spot welding method,utility,"['<p id=""p-0005"" num=""0004"">In a case where the state of a welding tool (including a backing member) is significantly changed while a friction stir spot welding device is welding an object to be welded, in particular, in a case where serial spots welding for the object is performed, the external appearance of the object is impaired. The present inventors intensively studied this problem, and found the following phenomenon. Heat is accumulated in the welding tool (including the backing member), the material is softened by heat transferred from the welding tool and moves to a region that is outward of a clamp member, the material present below the clamp member is plasticized, a welded region and the clamp member are depressed, or the clamp member is raised, compared to a case where single spot welding for the object is performed.</p>', '<p id=""p-0006"" num=""0005"">The present invention has been developed to solve the above-described problem, and an object of the present invention is to provide a friction stir spot welding device and a friction stir spot welding method, which can realize a good welding quality even in a case where serial spots friction stir welding is performed, in particular, in a double-acting friction stir spot welding method.</p>']"
17,US10201879B2,Silver paste composition and semiconductor device using same,utility,"['<p id=""p-0011"" num=""0010"">Incidentally, regarding the adhesive composition used for the above-described intended purpose, in the case where the number of steps required for bonding is reduced so as to save manufacturing cost of the semiconductor device, for example, a high adhesive property is strongly required even when a preheating process is omitted. In addition, for securing the operational stability of the semiconductor device, a sufficient thermal conductive property and electrical conductive property are also required. However, the conventional adhesive composition cannot satisfy all of these necessary properties.</p>', '<p id=""p-0012"" num=""0011"">In view of such a problem, it is an object of the present invention to provide a silver paste composition which exhibits a high adhesive property by only a one-step sintering step and in which a silver hardened body obtained by hardening the silver paste composition after bonding has a sufficient thermal conductive property and electrical conductive property, and a semiconductor device using the same.</p>']"
18,US10201886B2,Polishing pad and method for manufacturing the same,utility,"['<p id=""p-0004"" num=""0003"">Miniaturization of semiconductor wafers has been further progressed in recent years, and as a result scratches having a depth of several nanometers, protrusions having a height of several nanometers, or the like have been considered as a defect which influences on device characteristics. Such minute defects can be detected with a particle measuring apparatus, which is represented by a wafer surface inspection system (product name: “Surfscan SP2”) manufactured by KLA-Tencor Corporation. In addition, a particle measuring apparatus having further improved detection sensitivity (a wafer surface inspection system manufactured by KLA-Tencor Corporation (product name: “Surfscan SP3”)) has also been introduced, and has enabled measurement of minute defects to a particle size of about 26 nm. Moreover, use of a semiconductor wafer having reduced wafer surface roughness (hereinafter, referred to as “haze”), which may cause a background noise of a measuring apparatus, or a measuring apparatus having a function to remove the influence of haze has enabled measurement of defects having even a particle size of 26 nm or smaller.</p>', '<p id=""p-0005"" num=""0004"">Accordingly, the present inventors used a low-haze wafer which allows for measurement of defects having a particle size of 26 nm or smaller on the wafer to measure minute defects on the semiconductor wafer polished with a conventional polishing pad. Then, marks of polishing trajectories (hereinafter, referred to as “polishing mark”) in an appearance of scratches, which were generated presumably due to a rotational trajectory of a polishing head or a polishing platen, were detected for a particle size of about 22 nm. Such polishing marks are highly likely to influence the properties of a device of 22 nm generation or later. Thus, a polishing technique which enables reduction of such minute defects to be generated on a workpiece such as a semiconductor wafer is required, and such reduction needs to be achieved in combination with the surface flatness of a polished object.</p>', '<p id=""p-0006"" num=""0005"">The present invention has been made in view of the above circumstance, and it is an object of the present invention to provide a polishing pad capable of sufficiently reducing minute defects to be generated after polishing on a workpiece which are detected in measurement for a particle size of 26 nm or smaller and capable of providing the workpiece with excellent surface flatness, and a method for manufacturing the polishing pad.</p>']"
19,US10201920B2,"Apparatus for forming polymer, comprising polymer backflow prevention portion",utility,"['<p id=""p-0009"" num=""0008"">It is an aspect of the present invention to provide a polymer forming apparatus, which has a polymer backflow prevention unit to efficiently prevent a molten polymer material from flowing back to a foaming agent injection gate.</p>']"
20,US10201943B2,Method for manufacturing nearly-natural black polarizing plate and polarizing plate manufactured thereby,utility,"['<p id=""p-0011"" num=""0010"">The present invention has been made in order to solve the above-described problems occurring in the prior art, and it is an object of the present invention to provide a method for manufacturing a polarizing plate having excellent heat resistance, which is simple and minimizes the occurrence of cunic defects, glittering and the occurrence of foreign matter defects in the polarizing plate, compared to conventional methods for controlling the color of a polarizing plate, and a polarizing plate manufactured by the method.</p>']"
21,US10201950B2,"Device for producing composite material, composite material produced using same, and method for producing composite material",utility,"['<p id=""p-0009"" num=""0008"">It is an aspect of the present invention to provide a device for manufacturing a composite material satisfying moldability and properties by realizing various forms of stacking of a polymer/fiber mat and wide-width unidirectional fibers, a composite material manufactured using the device, and a method for manufacturing the composite material.</p>']"
22,US10202008B2,Tire,utility,"['<p id=""p-0004"" num=""0003"">Furthermore, in recent years, reducing weight of the tire is required in view of environment performance. When two reinforcing cord layers of the metal reinforcing cord layer and the organic fiber reinforcing, cord layer are arranged such as the tire disclosed in Patent Literature 1, the weight of the tire is increased as a number of the reinforcing cord layers becomes larger. Thus, it may be impossible to enhance the environment performance sufficiently.</p>', '<p id=""p-0005"" num=""0004"">An object of the present invention is, in consideration of the problem described above, to provide a tire capable of reducing weight of the tire and improving operation stability in turning by enhancing rigidity of a bead part in a lateral direction.</p>']"
23,US10202012B2,Suspension link and production method therefor,utility,"['<p id=""p-0007"" num=""0005"">In the suspension link of Patent Literature 1, the main body portion of the suspension link is press-formed into a predetermined shape, a collar is welded to the main body portion of the suspension link which forms the coupling portion between the suspension link and the sub-frame, and a bushing is further press-fitted into the collar. In the suspension link in the related art, as the number of forming processes of the plate-like member or the number of components is large, costs tend to be relatively high and cost reduction is required. However, the joining between the main body portion of the suspension link and the collar is performed at a plate thickness portion of the main body portion of the suspension link in many cases. For this reason, if the plate thickness of the main body portion of the suspension link is simply made thin for the purpose of the cost reduction, the contact portion between the collar and the main body portion is reduced as the plate thickness of the main body portion becomes thinner, and thus the welding of the connection portion between the collar and the main body portion may be easily peeled away not to satisfy strength of the coupling portion.</p>', '<p id=""p-0008"" num=""0006"">The present invention has been made to solve the above problems, and an object thereof is to provide a suspension link having excellent reliability in strength or the like of the coupling portion of the suspension link while being inexpensive.</p>']"
24,US10202020B2,Electric compressor control system and electric compressor for vehicular air conditioning device provided with said system,utility,"['<p id=""p-0008"" num=""0007"">Wiring connected to a microcomputer is generally connected to a same ground pattern formed on a substrate, up to where the wiring reaches the microcomputer. Thus, when a plurality of wires (power supply lines, communication lines, and the like) are arranged on the substrate in a complex manner, noise is easily generated, and this has been a source of FM-band noise, for example.</p>', '<p id=""p-0009"" num=""0008"">In light of the foregoing, an object of the present invention is to provide an electric compressor control system capable of suppressing electromagnetic noise generated from a substrate, on which a microcomputer and the like are mounted, and an electric compressor for a vehicular air conditioning device provided with the electric compressor control system.</p>']"
25,US10202030B2,Power generation apparatus including internal combustion engine and rotary electric machine disposed adjacent thereto,utility,"['<p id=""p-0006"" num=""0005"">Meanwhile, in the hybrid vehicle drive according to the prior art, when terminal parts for connecting a power supply cable to the motor are provided at an outer circumferential portion of the housing, there is a problem that, as an axial or radial size of the housing increases, the entire drive grows in size.</p>', '<p id=""p-0007"" num=""0006"">An aspect of the present invention was made in view of the above circumstances, and thus an object thereof is to provide a power generation apparatus capable of suppressing growth in size and inhibiting a special constitution from being required for a rotary electric machine connected to an internal combustion engine.</p>']"
26,US10202037B2,Reaction force output device,utility,"['<p id=""p-0008"" num=""0007"">However, since a conventional reaction output device includes a motor, a gear mechanism which is connected to the motor, and a pedal (an operation element) mechanism which is connected to the gear mechanism, a reaction force output to the operation element may be small, and it may not be possible to provide a desired high reaction force.</p>', '<p id=""p-0009"" num=""0008"">The present invention is made in view of such problems, and an object of the present invention is to provide a reaction force output device which allows a higher reaction force through an operation element.</p>']"
27,US10202057B2,"Surface skin-fastening structure for vehicle seat, operation lever device for vehicle seat, and vehicle seat",utility,"['<p id=""p-0022"" num=""0024"">The present invention was devised in view of the problems described above in prior-art devices, and an object thereof is to provide a surface skin-fastening structure in which structure is simple, work for fastening the surface skin can be carried out in a simple manner, and costs can be reduced.</p>']"
28,US10202067B2,Vehicle lamp control system and operation method thereof,utility,"['<p id=""p-0007"" num=""0006"">A redundant-type system that includes an individual control apparatus for each lamp is more advantageous in terms of vehicle safety, compared to a system in which a plurality of lamps are controlled by a single, common control apparatus. That said, in the case of left and right headlights (headlamps), for example, these lamps should ordinarily be turned on/off simultaneously. However, in the system in which a plurality of lamps are controlled through use of an individual control apparatus for each lamp, the on/off timings tend to differ between lamps.</p>', '<p id=""p-0008"" num=""0007"">For example, in a system in which, of two electronic control units that control two lamps, one electronic control unit functions as a master unit and the other electronic control unit serves as a slave unit, and the slave unit controls the light-on/off of an associated lamp based on a command from the master unit, the light-on/off timings tend to differ as a result of factors such as the following.</p>', '<p id=""p-0009"" num=""0008"">That is, the light-on/off timings tend to differ as a result of time delay between a timing at which the master unit starts control of the light-on/off of the associated lamp and a timing at which the master unit inputs the command to the slave unit, time delay between when the command from the master unit is inputted and when the slave unit starts control of the light-on/off of the associated lamp based on the command, and the like. As the difference in the timings of light-on/off increases, the more likely it is that a user experiences discomfort.</p>', '<p id=""p-0010"" num=""0009"">The present invention has been achieved in light of such issues. An object of the present invention is to provide a technology that enables suppression of discomfort experienced by a user as a result of differences in light-on/off timings between lamps, in a system in which, of two control apparatus that control two lamps, one control apparatus turns on/off an associated lamp by receiving a command from the other control apparatus.</p>']"
29,US10202098B2,Webbing take-up device,utility,"['<p id=""p-0006"" num=""0005"">However, a configuration in which the torsion shaft is disposed at an axial center portion of the spool leaves room for improvement with regard to suppressing an increase in size of the webbing take-up device along the axial direction (axial direction of the spool).</p>', '<p id=""p-0007"" num=""0006"">In consideration of the above circumstances, an object of the present invention is to obtain a webbing take-up device capable of suppressing an increase in size along the axial direction.</p>']"
30,US10202108B2,Brake apparatus and brake system,utility,"['<p id=""p-0005"" num=""0004"">According to conventional brake apparatuses, the area occupied by a brake apparatus is relatively large as viewed from above. It has therefore not been possible to improve mountability of brake apparatuses on vehicles. It is an object of the invention to provide a brake apparatus improved in mountability on a vehicle.</p>']"
31,US10202116B2,"Mining machine control system, mining machine, mining machine management system, and mining machine management method",utility,"['<p id=""p-0005"" num=""0004"">A mining machine may travel a mine called an oil sand mine. The oil sand is sandstone containing high viscosity mineral oil. On a road surface of oil sand, the road surface is in a sponge like state and the mining machine gradually sinks due to its own weight. Therefore, the road surface resistance is very large when the mining machine travels and, further, the road surface is very rugged. Therefore, even if a target traveling speed is set for the mining machine, when the mining machine travels on the road surface of oil sand, it may be difficult for the mining machine to travel according to the target traveling speed. For example, there is a possibility that an actual traveling speed of the mining machine becomes significantly lower than the target traveling speed due to the large road surface resistance and/or the mining machine stacks (stops) on the road surface of oil sand due to unevenness of the road surface and the like. Once the mining machine stacks on the road surface of oil sand, a lot of time is required for the mining machine to escape from the state and return to a normal traveling state, which could result in lowered productivity in the mine.</p>', '<p id=""p-0006"" num=""0005"">An object of an aspect of the present invention is to provide a mining machine control system, a mining machine, a mining machine management system, and a mining machine management method, which can suppress lowering of the productivity in a mine by suppressing an error between an actual traveling speed of the mining machine and a target traveling speed.</p>']"
32,US10202130B2,Cooling device for railroad vehicle,utility,"['<p id=""p-0006"" num=""0005"">However, in Patent Literature 1 described above, an inlet surface for taking in the cooling wind and an outlet surface for discharging the cooling wind are not taken into account. Room for improvement of cooling efficiency is recognized.</p>', '<p id=""p-0007"" num=""0006"">The present invention has been devised in view of the above and an object of the present invention is to provide a cooling device for a railroad vehicle that can achieve further improvement of cooling efficiency.</p>']"
33,US10202134B2,Train information managing apparatus,utility,"['<p id=""p-0006"" num=""0005"">However, with the invention described in Patent Literature 1, because the systems monitor each other\'s command signals that are generated therein and output therefrom, although each system can detect the occurrence of an abnormality in a transmission operation, each system cannot detect the occurrence of an abnormality in a reception operation (abnormality in an operation of receiving a response signal in response to a command signal). Consequently, there is a problem in that each system cannot switch its operation (i.e., the system operating as a slave cannot start operating as a master).</p>', '<p id=""p-0007"" num=""0006"">The present invention has been achieved in view of the above and an object of the present invention is to provide a train information managing apparatus that enhances reliability when compared with conventional technologies.</p>']"
34,US10202137B2,"Heater device, steering wheel, and transport device",utility,"['<p id=""p-0009"" num=""0008"">PTL 1 discloses the technology for detecting whether an operator is holding the steering wheel by using the heater included in the steering wheel, but fails to disclose what specifically the heater is.</p>']"
35,US10202142B2,Rack guide device and steering apparatus including same,utility,"['<p id=""p-0006"" num=""0005"">In FIG. 4 in Patent Literature 1, the disc spring and an interposed member that is interposed between the compression spring and the disc spring (the interposed member being referred to as a second rack support in Patent Literature 1) are accommodated and held in place in a cylindrical portion that is provided in the plug. Specifically, the interposed member is held in place through the use of a snap ring that is engaged in circumferential grooves that are formed individually on an inner circumference of the cylindrical portion that guides an outer diameter of the disc spring and an outer circumference of the interposed member, and the disc spring is held between the interposed member and a bottom of the cylindrical portion.</p>', '<p id=""p-0007"" num=""0006"">In Patent Literature 1, in holding the disc spring and the interposed member on the plug, it is necessary to perform complex and troublesome work of fitting the snap ring in the circumferential grooves formed individually on the plug and the interposed member. Because of this, the total number of assembling man-hours including those spent assembling the subunit including the plug is increased, causing a problem that the assembling performance is deteriorated.</p>', '<p id=""p-0008"" num=""0007"">An object of the invention is to provide a rack guide device that provides a good assembling performance as a whole and a steering apparatus including this rack guide device.</p>']"
36,US10202146B2,Steering control device and steering-assisting torque control method thereof,utility,"['<p id=""p-0006"" num=""0005"">This kind of steering control device is configured to set an assist steering torque of a motor based on a deviation between a target steering torque set by target steering torque setting means and a steering torque detected by steering torque detection means. However, this steering control device is designed by assuming only a case where a driver holds a steering wheel for steering. Accordingly, there is a problem in that, under a hands-off state in which the driver releases his or her hands from the steering wheel, the steering wheel does not return to a neutral position, or over returns to the neutral position.</p>', '<p id=""p-0007"" num=""0006"">The present invention has been made to solve the above-mentioned problem, and it is an object of the present invention to provide a steering control device and a steering assist torque control method, which are capable of causing a steering torque to follow a target steering torque, when a driver holds a steering wheel for steering, thereby achieving smooth steering, and of returning the steering to a neutral position at an appropriate speed, when the driver releases his or her hands from the steering wheel, thereby being able to achieve satisfactory steering feelings even in a steering state and in a hands-off state.</p>']"
37,US10202218B2,Delaminatable container,utility,"['<p id=""h-0007"" num=""0000"">First Aspect</p>', '<p id=""p-0005"" num=""0007"">Examples of such a delaminatable container include a container provided with an EVOH layer in an inner layer. Employment of such layer configuration gives excellent oxygen barrier properties to the EVOH layer and enables production of a delaminatable container excellent in oxygen barrier properties.</p>', '<p id=""p-0006"" num=""0008"">The present inventors made an investigation to unfortunately learn that even higher oxygen barrier properties may be required for some use.</p>', '<p id=""p-0007"" num=""0009"">The first aspect of the present invention has been made in view of such circumstances and is to provide a delaminatable container with improved oxygen barrier properties.</p>', '<p id=""h-0008"" num=""0000"">Second Aspect</p>', '<p id=""p-0008"" num=""0010"">In PTL 2, to solve the problem of not smoothly introducing fresh air between the outer shell and the inner bag after discharging the contents, vertical ribs are provided in a region extending at a central angle of 90 degrees downward from a fresh air inlet formed in the mouth.</p>', '<p id=""p-0009"" num=""0011"">The technique in PTL 2 is premised on formation of the fresh air inlet in the mouth of the container. The technique is thus difficult to be applied to a delaminatable container provided with a fresh air inlet in the storage portion of the container.</p>', '<p id=""p-0010"" num=""0012"">The second aspect of the present invention has been made in view of such circumstances and is to provide a delaminatable container, having a fresh air inlet in the storage portion of the container, capable of smoothly introducing fresh air between the outer shell and the inner bag.</p>', '<p id=""h-0009"" num=""0000"">Third Aspect</p>', '<p id=""p-0011"" num=""0013"">The present inventors found that, when a shrink film is mounted to the outer circumference of such a delaminatable container as in PTL 3, the outer shell after discharging the contents sometimes does not smoothly restore its original shape.</p>', '<p id=""p-0012"" num=""0014"">The third aspect of the present invention has been made in view of such circumstances and is to provide a delaminatable container with an outer shell excellent in restorability even when a shrink film is mounted to the container body.</p>', '<p id=""h-0010"" num=""0000"">Fourth Aspect</p>', '<p id=""p-0013"" num=""0015"">Delaminatable containers have an inner bag delaminated from an outer shell to be shrunk, thereby pouring out, for example, liquid contents. They thus have a problem that, depending on the form of shrinkage of the inner bag, an area like a liquid pool turns out to be generated and it is difficult to use up all the contents in the inner bag. In order to improve such a situation, improvements are under review, such as providing a plurality of adhesion strips to adhere the outer shell to the inner bag in strips, but not yet optimized.</p>', '<p id=""p-0014"" num=""0016"">The fourth aspect of the present invention has been made in view of such circumstances and is to provide a delaminatable container allowing the contents to be certainly used up fully.</p>']"
