,publication_number,patent_title,appl_type,positive_text
21,US10173540B2,Contactless power transmission device,utility,"['<p id=""p-0017"" num=""0016"">According to the present invention, it is possible to prevent a reduction in power transfer efficiency due to a foreign substance or the like in a power transmission device including a plurality of power transmission coil units.</p>']"
22,US10173556B2,Seat for vehicles,utility,"['<p id=""p-0023"" num=""0022"">According to the present invention, it is possible to provide a seat for vehicles in which a seat cushion escape mechanism can be space-saving and assembling work for the escape mechanism is easy.</p>']"
23,US10173563B2,Seat having surface cover and peripheral cover with cooperative inclined piles,utility,"['<p id=""p-0011"" num=""0010"">The present invention allows easy and firm connection of the end of the surface cover in assembling thereof.</p>']"
24,US10173566B2,Seat pad,utility,"['<p id=""p-0011"" num=""0010"">According to the present invention, the durability and the fit of a seat pad can be simultaneously achieved.</p>']"
25,US10173594B2,Step of industrial vehicle and industrial vehicle,utility,"['<p id=""p-0009"" num=""0008"">According to the above step of the industrial vehicle, even when the lower footboard contacts the ground surface, the front suspension member and the rear suspension member elastically deform, and the rear suspension member turns relative to the upper footboard, so that the damage of the step can be avoided. Further, since a turnable portion is limited, it is possible to prevent a case where the lower footboard is displaced relative to the upper footboard in a forward/rearward direction to become unstable. Furthermore, since the upper footboard is not required to have a complex structure, the upper footboard can be reduced in size in the vehicle width direction, and therefore, the step can be reduced in size in the vehicle width direction.</p>']"
26,US10173614B2,Power supply device for auxiliary device battery,utility,"['<p id=""p-0011"" num=""0010"">According to the present invention, since the converter that works by using the external power which is supplied through the charging cable, and supplies the power to the auxiliary device battery by converting the external power into the power for the auxiliary device is arranged, even when a stored power amount of the auxiliary device battery is less than a startable power amount of the electric motor vehicle, it is possible to make the electric motor vehicle be startable. Therefore, it is possible to convert the external power into the direct power for the auxiliary device by the converter, and it is possible to enhance the charging efficiency, in comparison with a method for charging (converting the external power into the drive power, and further, into the power for the auxiliary device) the auxiliary device battery in the related art.</p>', '<p id=""p-0012"" num=""0011"">In the power supply device for an auxiliary device battery according to the present invention, a control unit that works by using the power for the auxiliary device which is stored in the auxiliary device battery, and carries out a control process of the electric motor vehicle, and a start switch that accepts a start operation of the control unit by the user may be included, and when the opening and closing switch, and the start switch are in an ON state, and a stored power amount of the auxiliary device battery is less than a startable power amount of the electric motor vehicle, the external power may be supplied to the converter, and the stored power amount of the auxiliary device battery may be made to be equal to or more than the startable power amount of the electric motor vehicle, and the control unit may be started.</p>', '<p id=""p-0013"" num=""0012"">According to the above configuration, even when the stored power amount of the auxiliary device battery is less than the startable power amount of the electric motor vehicle (at the time of the auxiliary device battery death), it is possible to start the electric motor vehicle by taking the external power from the charging cable, and converting the external power into the power for the auxiliary device, and it is possible to enhance the convenience.</p>', '<p id=""p-0014"" num=""0013"">Moreover, in the power supply device for an auxiliary device battery according to the present invention, a semiconductor switch that is arranged in a circuit which supplies the external power to the converter from the charging cable, and turns on or turns off a connection of the circuit by a control of the control unit may be included, and the opening and closing switch, and the semiconductor switch may be connected in parallel.</p>', '<p id=""p-0015"" num=""0014"">According to the above configuration, since the opening and closing switch, and the semiconductor switch are connected in parallel, it is possible to turn on or to turn off the supply of the external power to the converter from the charging cable by the opening and closing switch instead of the control unit at the time of the auxiliary device battery death.</p>', '<p id=""p-0016"" num=""0015"">In the power supply device for an auxiliary device battery according to the present invention, when the stored power amount of the auxiliary device battery is equal to or more than the startable power amount of the electric motor vehicle, the control unit may make an ON-OFF behavior of the opening and closing switch based on the operation of the user be ineffective, and may control an ON-OFF behavior of the semiconductor switch.</p>', '<p id=""p-0017"" num=""0016"">According to the above configuration, when the stored power amount of the auxiliary device battery is equal to or more than the startable power amount of the electric motor vehicle, it is possible to prevent the unnecessary charging of the auxiliary device battery due to the erroneous operation of the opening and closing switch of the user.</p>', '<p id=""p-0018"" num=""0017"">Additionally, in the power supply device for an auxiliary device battery according to the present invention, an operation switch that is configured by being coupled with the opening and closing switch so as to turn on or turn off the opening and closing switch by being operated by the user may be included, and the operation switch may be installed in the vicinity of the start switch.</p>', '<p id=""p-0019"" num=""0018"">According to the above configuration, since the operation switch that accepts an ON-OFF operation of the opening and closing switch by the user is installed in the vicinity of the start switch of the electric motor vehicle, it is possible to sequentially press two switches, and it is possible to enhance operability at the time of the jump start of the electric motor vehicle.</p>', '<p id=""p-0020"" num=""0019"">In the power supply device for an auxiliary device battery according to the present invention, an operation switch that is configured by being coupled with the opening and closing switch so as to turn on or turn off the opening and closing switch by being operated by the user may be included, and the operation switch may be installed in the vicinity of the charging port of the electric motor vehicle to which the charging cable is connected.</p>', '<p id=""p-0021"" num=""0020"">According to the above configuration, since the operation switch that accepts the ON-OFF operation of the opening and closing switch by the user is installed in the vicinity of the charging port, after the charging cable is connected to the charging port, it is possible to immediately turn on the operation switch, and it is possible to quickly begin the power source supply to the converter.</p>']"
27,US10173628B2,Airbag and airbag apparatus,utility,"['<p id=""p-0028"" num=""0027"">The airbag according to the present invention includes the first panel member and the second panel member. In a state where the airbag is inflated to have a final deployed shape, the fitting port of the second panel member is anchored to the first panel member. In a case of restraining of a passenger in proximity in which the passenger is received by the airbag that is still being inflated, the gas is released from the clearance produced between the fitting port of the second panel member and the first panel member.</p>', '<p id=""p-0029"" num=""0028"">In the airbag according to the present invention, there is no need to connect the first panel member and the second panel member by bonding. Therefore, the airbag is easy to manufacture. Furthermore, in the airbag according to the present invention, a clearance can be produced over a wide range between the fitting port of the second panel member and the outer circumference of the first panel member. Therefore, the amount of gas to be released in the case of restraining of a passenger in proximity can be increased.</p>', '<p id=""p-0030"" num=""0029"">If a tether that connects the first panel member and the second panel member is provided, the second panel member is anchored by the tether as well. If the tether has an extendable structure, the length of the tether gradually increases while the airbag is inflated. Therefore, the second panel member is slowly moved (shifted) toward the passenger side.</p>']"
28,US10173638B2,"Energy absorbing device, seat belt retractor and seat belt apparatus",utility,"['<p id=""p-0020"" num=""0019"">According to the energy absorbing device, the seat belt retractor, and the seat belt apparatus of the present invention, for the relatively rotating clutch plates, the first clutch disc and the second clutch disc are alternately reciprocated in a rotation axis direction so that the engaging outer teeth and the engaging inner teeth alternately engage with the engaging teeth. Accordingly, it is possible to increase and decrease the reciprocation speed of the first clutch disc and the second clutch disc depending on increase and decrease of the relative rotation speed of the clutch plates, and to vary the energy absorbing amount depending on increase and decrease of rotation speed between relatively rotating objects.</p>', '<p id=""p-0021"" num=""0020"">Further, according to the present invention, since the rotating component (clutch plate) and the reciprocating component (first clutch disc and second clutch disc) perform the respective functions, a counterforce generated during actuation can be distributed to the respective components, thereby reducing accumulation of metal fatigue and improving durability. Moreover, since only one surface of the first clutch disc and the second clutch disc engages with the clutch plate, the structural strength of the first clutch disc, the second clutch disc, and the clutch plate can be easily improved, thereby improving the durability of the energy absorbing device.</p>']"
29,US10173713B2,Steering wheel decorative member,utility,"['<p id=""p-0018"" num=""0017"">According to the present invention, when an impact load acts on a steering wheel, a decorative member can be caused to follow a deformation of the steering wheel, and cracks in the decorative member can thus be prevented.</p>']"
30,US10173752B2,Ship,utility,"['<p id=""p-0023"" num=""0022"">According to the above-mentioned ship, when the side shell is damaged and the inside of the hull is flooded, the heel and rolling of the hull can be suppressed to obtain a high stability, and stable self-navigation becomes possible.</p>']"
31,US10173833B2,Glass substrate package,utility,"['<p id=""p-0029"" num=""0028"">According to the present invention, the plurality of disc-shaped glass substrates can be packaged at low cost while the disc-shaped glass substrates are prevented from being broken.</p>']"
32,US10173909B2,Tubular fluid purification apparatus,utility,"['<p id=""p-0009"" num=""0008"">According to the present disclosure, the time it takes for fluid to remain around a vortex generation part while the fluid flows through a conduit part can be increased. Therefore, fluid around the vortex generation part can be exposed to ultraviolet light emitted from a light emitting diode for a sufficient period of time and thus effectively purified.</p>', '<p id=""p-0010"" num=""0009"">As described above, according to embodiments of the present disclosure, the efficiency of purifying fluid in the conduit part can be markedly enhanced by the vortex generation part.</p>']"
33,US10173917B2,Method for producing granules and method for producing glass product,utility,"['<p id=""p-0015"" num=""0014"">According to the present invention, it is possible to obtain granules for the production of silicate glass, which are less likely to adhere to one another even if heated at a high temperature exceeding 800° C.</p>', '<p id=""p-0016"" num=""0015"">According to the method for producing a glass product of the present invention, it is possible to suppress adhesion of the granules and to increase the thermal efficiency, in the step of pre-heating prior to melting the granules in the glass melting furnace.</p>']"
34,US10173923B2,"Tempered glass, tempered glass plate, and glass for tempering",utility,"['<p id=""p-0039"" num=""0038"">The tempered glass of the present invention has high ion exchange performance. Accordingly, even when ion exchange treatment is performed for a short period of time, the compression stress value of its compression stress layer increases and the compression stress layer is formed so as to reach a deep portion. As a result, its mechanical strength is enhanced, and a variation in mechanical strength reduces.</p>', '<p id=""p-0040"" num=""0039"">In addition, the tempered glass of the present invention is excellent in devitrification resistance, and hence can be efficiently formed into a shape by the overflow down-draw method. It should be noted that according to the overflow down-draw method, a glass sheet having a large size and a small thickness can be formed in a large amount.</p>', '<p id=""p-0041"" num=""0040"">Further, the tempered glass of the present invention has a low thermal expansion coefficient, and hence the time required for preheating before tempering treatment and/or the time required for annealing after tempering treatment can be shortened. In addition, the tempered glass of the present invention has a high Young\'s modulus and a high fictive temperature Tf, and hence the dimensional change between before and after tempering treatment can be reduced.</p>']"
35,US10173929B2,"Sintering material, and powder for manufacturing sintering material",utility,"['<p id=""p-0024"" num=""0023"">The sintering material of the invention can be used to produce a dense and uniform sintered body that is highly resistant to corrosion by not only a fluorine-based plasma but chlorine-based plasma and is less prone to particle shedding.</p>', '<p id=""p-0025"" num=""0024"">It is easy with the powder of the invention to prepare the sintering material of the invention.</p>']"
36,US10173952B2,"Method for producing chloropropene and method for producing 2,3,3,3-tetrafluoropropene",utility,"['<p id=""p-0031"" num=""0040"">In the production of a chloropropene in the present invention, distillation is performed under conditions in which a mixture containing the unreacted starting material and unreacted hydrogen fluoride that remain after a reaction of the starting material do not undergo liquid-liquid separation, and a fraction obtained by the distillation is reused in the reaction. Thus, catalyst deactivation in the reaction system can be suppressed, enabling the chloropropene to be stably produced for a long period of time.</p>', '<p id=""p-0032"" num=""0041"">Moreover, in the production of 2,3,3,3-tetrafluoropropene in the present invention, distillation is performed under conditions in which a mixture containing the unreacted raw material and unreacted hydrogen fluoride that remain after a reaction of the raw material do not undergo liquid-liquid separation, and a fraction obtained by the distillation is reused in the reaction. Thus, catalyst deactivation in the reaction system can be suppressed, enabling 2,3,3,3-tetrafluoropropene to be stably produced for a long period of time.</p>']"
37,US10173959B2,Liquid crystal composition and liquid crystal display device,utility,"['<p id=""p-0026"" num=""0025"">An advantage of the invention is a high solubility of a polymerizable compound in a liquid crystal composition. Another advantage of the invention is a liquid crystal composition satisfying at least one of characteristics such as a high maximum temperature of a nematic phase, a low minimum temperature of the nematic phase, a small viscosity, a suitable optical anisotropy, a large negative dielectric anisotropy, a large specific resistance, a high stability to ultraviolet light and a high stability to heat. One aspect of the invention is a liquid crystal composition having a suitable balance regarding at least two of the characteristics. Another aspect is a liquid crystal display device containing such a composition. A further aspect is a polymerizable compound having a high solubility, a composition having a suitable optical anisotropy, a large negative dielectric anisotropy, a high stability to ultraviolet light and so forth, and an AM device having a short response time, a large voltage holding ratio, a large contrast ratio, a long service life and so forth.</p>']"
38,US10173960B2,Composition,utility,"['<p id=""p-0041"" num=""0039"">The composition of the present invention contains an acrylic acid derivative; in the composition, the acrylic acid derivative is stabilized.</p>', '<p id=""p-0042"" num=""0040"">The method of the present invention stabilizes an acrylic acid derivative.</p>']"
39,US10173972B2,Method for producing high-purity aqueous urea solution in urea production process,utility,"['<p id=""p-0037"" num=""0036"">As described hereinbefore, according to the present invention, there can be produced an aqueous urea solution with high purity suitable as a reducing agent for SCR in a urea production plant. According to the present invention, there can be produced an aqueous urea solution with a small amount of impurities and biuret. The present invention can cope with a change in operation conditions of a urea production plant and the like, and can produce stably a high-purity aqueous urea solution.</p>']"
40,US10174001B2,Crystals of 5-cyclopropyl-2-((1-(3-fluorobenzyl)-1H-indol-5-yl)amino)nicotinic acid,utility,"['<p id=""p-0022"" num=""0027"">The α-form crystal of the present invention has excellent stability, is easy to handle and useful for an active pharmaceutical ingredient of medicine.</p>', '<p id=""p-0023"" num=""0028"">The β-form crystal of the present invention has excellent stability, is easy to handle and useful for an active pharmaceutical ingredient of medicine.</p>']"
41,US10174025B2,Pyrazole derivative manufacturing method,utility,"['<p id=""p-0022"" num=""0022"">The present invention is a method for manufacturing a 4-heteroaryl-N-(2-phenyl-[1,2,4]triazolo[1,5-a]pyridin-7-yl)-1H-pyrazole-5-carboxylic acid amide derivative represented by formula (I) below, which exhibits PDE10 inhibitory activity; and an intermediate that is useful for this manufacturing method. The present invention can provide a manufacturing method which has a good yield and a short process and is simple and industrially advantageous, and is industrially useful.</p>']"
42,US10174040B2,Pyrrolopyrimidine compound or salt thereof and compositions containing the pyrrolopyrimidine compound or salt thereof,utility,"['<p id=""p-0023"" num=""0044"">The present invention provides a novel compound or a salt thereof represented by Formula (A) above. The novel compound is useful as an NAE inhibitor.</p>', '<p id=""p-0024"" num=""0045"">It was clarified that the compound of the present invention or a salt thereof has superior NAE inhibitory activity, and inhibits growth of tumor cells. Further, since the carbonic anhydrase II inhibitory activity of the compound of the present invention or a salt thereof is attenuated, the effect of the decrease in plasma concentration due to the transfer to the red blood cells will not occur. Therefore, the compound of the present invention or a salt thereof is significantly useful as an agent for preventing and/or treating Tumors.</p>']"
43,US10174111B2,Therapeutic drug for malignant tumors,utility,"['<p id=""p-0043"" num=""0045"">According to the present invention, a novel therapeutic drug, diagnostic drug or the like for malignant tumor is obtained.</p>']"
44,US10174149B2,"Cyanic acid ester compound and method for producing same, resin composition, and cured product",utility,"['<p id=""p-0045"" num=""0043"">The present invention can provide a novel cyanic acid ester compound that has a low rate of thermal expansion, can provide a cured product having excellent flame retardance and heat resistance, and has excellent solvent solubility, and a method for producing the same, a resin composition comprising the cyanic acid ester compound, a cured product of the resin composition, and a prepreg, a metal foil-clad laminate, a resin sheet, a printed circuit board, a material for encapsulation, a fiber-reinforced composite material, and an adhesive comprising the resin composition.</p>', '<p id=""p-0046"" num=""0044"">The present invention can also provide a resin composition that has low water absorbability and can provide a cured product excellent in moisture-absorbing heat resistance and heat resistance, a cured product of the resin composition, and a prepreg, a metal foil-clad laminate, a resin sheet, a printed circuit board, a material for encapsulation, a fiber-reinforced composite material, and an adhesive comprising the resin composition.</p>']"
45,US10174166B2,"Polyimide precursor, polyimide, varnish, polyimide film, and substrate",utility,"['<p id=""p-0043"" num=""0045"">According to the present invention, there may be provided a polyimide having excellent properties such as high transparency, bending resistance and high heat resistance, and having a very low coefficient of linear thermal expansion; and a precursor thereof. The polyimide obtained from the polyimide precursor of the present invention, and the polyimide of the present invention have high transparency and a low coefficient of linear thermal expansion and a fine circuit may be easily formed thereon, and the polyimides may be suitably used for the formation of a substrate for use in a display, or the like. In addition, the polyimides of the present invention may also be suitably used for the formation of a substrate for a touch panel or a solar battery.</p>']"
46,US10174167B2,Polyimide resin,utility,"['<p id=""p-0018"" num=""0023"">The polyimide resin of the present invention is excellent in molding processability, heat resistance and heat aging resistance. For example, even if a film comprising the polyimide resin is stored under a high-temperature environment of 200° C. or more for several days, the molecular weight retention rate is less decreased to allow the mechanical strength (toughness) of the film to be kept. The polyimide resin is preferably used in an application where heat aging resistance is required, for example, a member for use in automobiles, such as a gear, a tube and a pipe, a sliding member for use in a copier and the like, an industrial piping, an electronic member, and a covering material.</p>']"
47,US10174170B2,Method for producing liquid high-purity polyhydric alcohol derivative-modified silicone or composition thereof,utility,"['<p id=""p-0087"" num=""0086"">The production method of the present invention is useful in the production of a liquid high-purity polyhydric alcohol derivative-modified silicone or a composition containing the same on a commercial scale.</p>', '<p id=""p-0088"" num=""0087"">Particularly, the present invention can be applied regardless of the type of the polyhydric alcohol modifier, and can easily cope with the production of a liquid high-purity polyhydric alcohol derivative-modified silicone or a composition containing the same on a commercial scale.</p>', '<p id=""p-0089"" num=""0088"">For example, the present invention enables the production of a liquid high-purity polyhydric alcohol derivative-modified silicone or a composition containing the same in a stable manner on a commercial scale even when the boiling point of the polyhydric alcohol derivative modifier (for example, a glycerin derivative) is high, making it difficult to be purified by distillation, or when the polyhydric alcohol derivative modifier (for example, a glycerin derivative) is a high-molecular compound.</p>', '<p id=""p-0090"" num=""0089"">When the composition contains a solvent of the polyhydric alcohol derivative-modified silicone, a solution of a high-purity polyhydric alcohol derivative-modified silicone can be produced easily, and the production of this solution has excellent yield and productivity, so the method is also suitable for production on a commercial scale.</p>', '<p id=""p-0091"" num=""0090"">Moreover, it is possible for the production method of the present invention to provide a liquid high-purity polyhydric alcohol derivative-modified silicone or a composition containing the same whose appearance is suitably transparent or translucent since a large amount of hydrophilic impurities are removed.</p>', '<p id=""p-0092"" num=""0091"">Also, since the impurities, particularly, the impurities originating from the hydrophilic polyhydric alcohol derivative modifier have been removed from the high-purity polyhydric alcohol derivative-modified silicone or a composition containing the same obtained by the production method of the present invention, phase separation, precipitation of the unreacted starting material, and the like are not likely to occur after production. Therefore, the composition is chemically and physically stable.</p>', '<p id=""p-0093"" num=""0092"">Therefore, it is possible for the production method of the present invention to provide a high-purity polyhydric alcohol derivative-modified silicone or a composition containing the same that has a high transparency, the transparency being maintained even after the temperature history has elapsed or after storage over a long period of time, and that is in liquid form and does not tend to give rise to separation and sedimentation, and the like.</p>', '<p id=""p-0094"" num=""0093"">In addition, the high-purity polyhydric alcohol derivative-modified silicone produced by the present invention or a solvent containing the same can be suitably used in external use preparations or cosmetics and can further be used widely in various industrial materials.</p>']"
48,US10174172B2,"Joined body joined by chemical bonding at material interface, and joining method for joined body",utility,"['<p id=""p-0012"" num=""0011"">The present invention makes it possible to join two or more same or different solid-state materials without using an adhesive.</p>', '<p id=""p-0013"" num=""0012"">Because the joined body of the present invention is joined without an adhesive, the joined body has no risk of detachment from the joining surface.</p>', '<p id=""p-0014"" num=""0013"">When the chemical bond is a covalent bond, the joined body of the present invention ensures a stable and strong joining.</p>', '<p id=""p-0015"" num=""0014"">When the chemical bond is a coordinate bond or a hydrogen bond, the joined body of the present invention is capable of reversible joining and dissociation, and thereby enables control between joining and dissociation as necessary.</p>']"
49,US10174178B2,Polyolefin resin foam sheet and adhesive tape,utility,"['<p id=""p-0012"" num=""0011"">The present invention can provide a thin polyolefin resin foam sheet which is excellent in impact-absorbing properties and impact resistance and has withstand voltage properties, and an adhesive tape using the same.</p>']"
