,publication_number,patent_title,appl_type,positive_text
16,US10202030B2,Power generation apparatus including internal combustion engine and rotary electric machine disposed adjacent thereto,utility,"['<p id=""p-0018"" num=""0017"">According to the power generation apparatus described in aspect (1), since the connection space is formed in part of the internal combustion engine, an increase in an axial dimension of the power generation apparatus can be suppressed.</p>', '<p id=""p-0019"" num=""0018"">That is, a predetermined width (a length in a connecting direction) is required for the connection space for connecting the coil terminals and the connection terminals. For this reason, for example, when the connection space is provided at the outer circumferential portion of the housing of the rotary electric machine, a width of this housing is equal to or greater than a predetermined value, and an axial or radial size of the entire power generation apparatus increases.</p>', '<p id=""p-0020"" num=""0019"">In contrast, as the connection space is formed in part of the internal combustion engine, a space directed toward the internal combustion engine can be efficiently used as provide the connection space, and an increase in size of the housing of the rotary electric machine can be suppressed, or the housing of the rotary electric machine can be obviated.</p>', '<p id=""p-0021"" num=""0020"">In the case of aspect (2), since the connection space can be formed using a space around the insertion part of the crankshaft of the internal combustion engine, the internal combustion engine and the rotary electric machine can be inhibited from growing in radial size.</p>', '<p id=""p-0022"" num=""0021"">In the case of aspect (3), since the connection space can be formed using a space that is present due to a difference in outer diameter between the insertion part of the crankshaft of the internal combustion engine and another housing of the rotary electric machine or the transmission, the internal combustion engine and the rotary electric machine can be inhibited from growing in radial size.</p>', '<p id=""p-0023"" num=""0022"">In the case of aspect (4), since the power supply cable can be disposed around the internal combustion engine or the rotary electric machine in an axial direction, the power generation apparatus including even the power supply cable can be inhibited from growing in size, for example, compared to the case in which the power supply cable is disposed in a radial direction.</p>', '<p id=""p-0024"" num=""0023"">In the case of aspect (5), the connection space and the stator and the rotor of the rotary electric machine can be prevented from overlapping in an axial direction when viewed in a radial direction, and the rotary electric machine can be inhibited from growing in radial size.</p>', '<p id=""p-0025"" num=""0024"">In the case of aspect (6), the coil terminals and the connection terminals of the power supply cable can be easily connected because they can gain access to the connection space through the window part.</p>', '<p id=""p-0026"" num=""0025"">In the case of aspect (7), since the connection space is formed at a lower position than an exhaust heat system position, a thermal action which the power supply cable receives from an exhaust heat system component can be suppressed.</p>', '<p id=""p-0027"" num=""0026"">In the case of aspect (8), even when the connection space is formed in the lower block, the connection parts can be prevented from being covered with fluid.</p>', '<p id=""p-0028"" num=""0027"">In the case of aspect (9), a dedicated housing is not required for the rotary electric machine, and the number of components can be reduced.</p>']"
17,US10202037B2,Reaction force output device,utility,"['<p id=""p-0017"" num=""0016"">According to the embodiments of the present invention, it is possible to provide a reaction force output device which allows a higher reaction force through an operation element.</p>']"
18,US10202057B2,"Surface skin-fastening structure for vehicle seat, operation lever device for vehicle seat, and vehicle seat",utility,"['<p id=""p-0042"" num=""0044"">According to the surface skin-fastening structure, operation lever device, and vehicle seat of the present invention, the interlocking member is inserted into the slits, whereby the surface skin is fastened to the base member, and then the surface skin is furthermore pressed to the base member by the surface skin-pressing member. Therefore, the surface skin can be securely fastened to the base member, and consequently to the framework.</p>', '<p id=""p-0043"" num=""0045"">The surface skin is fastened in advance to the base member by the interlocking member being inserted into the slits, and therefore the work for pressing the surface skin to the base member with the aid of the surface skin-pressing member is greatly facilitated. As a result, the work of fastening the surface skin is facilitated.</p>', '<p id=""p-0044"" num=""0046"">The surface skin-fastening structure of the present invention is formed in a simple manner by the interlocking member, the slits, and the surface skin-pressing member, and costs are therefore very low.</p>']"
19,US10202098B2,Webbing take-up device,utility,"['<p id=""p-0011"" num=""0010"">In the webbing take-up device of the first aspect of the present invention, the webbing worn by an occupant is taken up by the spool. The occupant wears the webbing by pulling the webbing out from the spool. The lock section limits pull-out direction rotation of the spool in a vehicle emergency, and the winder section is rotated by the spool. When the webbing is pulled in the pull-out direction and the winder section is rotated by the spool in this state, the energy absorption member is led into the pressing section of the force limiter load generation mechanism, and then the energy absorption member is taken up by the winder section as the energy absorption member is pulled out from the pressing section.</p>', '<p id=""p-0012"" num=""0011"">In the present invention, configuration is made such that force limiter load is generated by the energy absorption member provided at the radial direction outer side of the spool being taken up onto the winder section provided at the radial direction outer side of the spool, and the energy absorption member being pressed. In this manner, the mechanisms that generate the force limiter load (the energy absorption member, the winder section, and the force limiter load generation mechanism) are arranged along the radial direction, thereby enabling the mechanisms that generate the force limiter load to be suppressed from increasing in size along the axial direction. As a result, the webbing take-up device can be suppressed from increasing in size along the axial direction.</p>', '<p id=""p-0013"" num=""0012"">In the webbing take-up device of the second aspect of the present invention, the energy absorption member is set in the preset section by engaging the energy absorption member along the radial direction inside face of the preset section. This configuration renders a wall to separate the portion of the energy absorption member set in the preset section from the winder section unnecessary. This thereby enables an increase in size of the webbing take-up device along the axial direction to be further suppressed. In configurations including a wall separating the portion of the energy absorption member set in the preset section from the winder section, it is conceivable that the energy absorption member may be wound onto the wall (adding unwanted winding load). However, the present invention enables the occurrence of such unwanted winding load to be suppressed.</p>', '<p id=""p-0014"" num=""0013"">In the webbing take-up device of the third aspect of the present invention, the webbing take-up device can be further suppressed from increasing in size along the axial direction than in cases in which the mechanisms that generate the force limiter load (the energy absorption member, the winder section, and the force limiter load generation mechanism) are disposed offset with respect to the rotation limiting section in the axial direction of the spool.</p>']"
20,US10202108B2,Brake apparatus and brake system,utility,"['<p id=""p-0007"" num=""0006"">The invention thus improves the mountability of brake apparatuses on vehicles.</p>']"
21,US10202116B2,"Mining machine control system, mining machine, mining machine management system, and mining machine management method",utility,"['<p id=""p-0011"" num=""0010"">According to an aspect of the present invention, a mining machine control system, a mining machine, a mining machine management system, and a mining machine management method are provided, which can suppress lowering of the productivity in a mine by suppressing an error between an actual traveling speed of the mining machine and a target traveling speed.</p>']"
22,US10202130B2,Cooling device for railroad vehicle,utility,"['<p id=""p-0009"" num=""0008"">According to the present invention, there is an effect that it is possible to achieve further improvement of cooling efficiency.</p>']"
23,US10202134B2,Train information managing apparatus,utility,"['<p id=""p-0009"" num=""0008"">According to the present invention, an effect is obtained where a train information managing apparatus with improved reliability can be realized.</p>']"
24,US10202142B2,Rack guide device and steering apparatus including same,utility,"['<p id=""p-0026"" num=""0025"">According to the invention of the first solution of the present invention, the holding member that holds the disc spring is held integrally to the blocking member through frictional engagement. The disc spring, the holding member and the blocking member can easily be integrated into the single sub-assembly through the simple work of bringing them into frictional engagement with one another, and therefore, the assembling performance of the rack guide device as a whole can be improved.</p>', '<p id=""p-0027"" num=""0026"">According to the invention of the second solution, the holding member that holds the disc spring can be held to the blocking member via the frictional engaging member.</p>', '<p id=""p-0028"" num=""0027"">According to the invention of the third solution, the error in dimensional accuracy of the holding member and the blocking member can be absorbed by the elastic member that is the frictional engaging member, and therefore, the holding member can be held to the blocking member in an ensured fashion.</p>', '<p id=""p-0029"" num=""0028"">Additionally, according to the invention of the fourth solution, the holding member receives the load of the disc spring via the washer plate that is provided at the one end of the guide tube that guides the radial end portion (for example, the inner diameter) of the disc spring, and therefore, it is possible to restrict the occurrence of wear of the rack guide by the disc spring.</p>', '<p id=""p-0030"" num=""0029"">According to the invention of the fifth solution, the guide tube and the opposing portion of the blocking member can be disposed so as to overlap in the axial direction, and therefore, the rack guide device can be reduced in size in the axial direction.</p>', '<p id=""p-0031"" num=""0030"">Additionally, according to the invention of the sixth solution, the assembling performance of the rack guide device can be improved by making the unit including the disc spring into the sub-assembly.</p>', '<p id=""p-0032"" num=""0031"">According to the invention of the seventh solution, the disc spring and the holding member can easily be integrated into either of the rack guide and the blocking member so as to be made into the unit (the sub-assembly) that can be treated integrally through the simple work of bringing the guide tube and the recess portion into frictional engagement with each other by adjusting the elastic reduction in diameter of the guide tube of the holding member by increasing or decreasing the width of the slit therein. Consequently, the assembling performance of the rack guide device as a whole can be improved.</p>', '<p id=""p-0033"" num=""0032"">According to the invention of the eighth solution, the holding member receives the load of the disc spring via the washer plate that is provided at the one end of the guide tube that guides the inner diameter portion of the disc spring, and therefore, it is possible to restrict the occurrence of wear of the rack guide by the disc spring.</p>', '<p id=""p-0034"" num=""0033"">Additionally, according to the invention of the ninth solution, the holding member unit that includes the disc spring and the holding member is provided, and therefore, the assembling performance of the rack guide device as a whole is improved further.</p>', '<p id=""p-0035"" num=""0034"">According to the invention of the tenth solution, the compression coil spring that is interposed between the blocking member and the rack guide to bias the rack guide towards the rack shaft is used together with the disc spring, and therefore, the degree of freedom in setting the load can be improved.</p>', '<p id=""p-0036"" num=""0035"">According to the invention of the eleventh solution, the set load of the compression coil spring that is disposed in series with the disc spring is set smaller than the set load of the disc spring, and therefore, a two-stage load characteristic can be obtained by setting the disc spring so as to start working after the compression coil spring deflects, whereby the degree of freedom in setting the load can be improved.</p>', '<p id=""p-0037"" num=""0036"">Additionally, according to the invention of the twelfth solution, the maximum gap amount between the blocking member and the holding member in relation to the direction in which the rack guide moves towards or away from the rack shaft is restricted by the connecting member to thereby set the load of the disc spring desirably, and therefore, a desired two-stage load characteristic can be obtained.</p>', '<p id=""p-0038"" num=""0037"">According to the invention of the thirteenth solution, it is possible to provide the steering apparatus that has the superior assembling performance.</p>']"
25,US10202146B2,Steering control device and steering-assisting torque control method thereof,utility,"['<p id=""p-0009"" num=""0008"">According to the present invention, it is possible to cause the steering torque to follow the target steering torque when the driver holds the steering wheel for steering, thereby achieving smooth steering, and to return the steering to the neutral position at an appropriate speed, when the driver releases his or her hands from the steering wheel, because the steering torque follows the target steering torque with an appropriate following deviation, thereby being able to achieve satisfactory steering feelings even in a steering state and in a hands-off state.</p>']"
26,US10202298B2,"Polarizing glass plate and method for manufacturing same, polarizing glass plate set for optical isolator, and method for manufacturing optical element for optical isolator",utility,"['<p id=""p-0089"" num=""0088"">According to the present invention, it is possible to easily manufacture the polarizing glass sheet having reduced polarizing axis deviation.</p>']"
27,US10202299B2,Glass film ribbon manufacturing method and glass film ribbon manufacturing device,utility,"['<p id=""p-0073"" num=""0072"">As described above, according to the one embodiment of the present invention, which is devised to attain the first object, a cleaving defect in the cleaving unit caused by the wrinkles generated in the glass film ribbon that is being conveyed in the transverse direction by the transverse conveyance unit of the device can be suppressed reliably. Further, according to the one embodiment of the present invention, which is devised to attain the second object, after the glass film ribbon is cleaved into the unnecessary portion and the effective portion while being conveyed in the transverse direction by the transverse conveyance unit, the unnecessary portion is appropriately supported, and the interference between the cleaving end surface of the unnecessary portion and the cleaving end surface of the effective portion is suppressed to the extent possible.</p>']"
28,US10202335B2,Methods for treating attention-deficit/hyperactivity disorder,utility,"['<p id=""p-0029"" num=""0028"">The present invention is based in part on the discovery that phenylalkylamino carbamates of Formula 1 discussed above have novel and unique pharmacological properties. These compounds have been shown in several animal models to have the ability to treat ADHD and modification of symptoms associated with ADHD.</p>', '<p id=""p-0030"" num=""0029"">Although the precise mechanism of action is not completely understood, it is known that these compounds do not work by the same mechanisms as most other known treatments for ADHD. For these reasons, the compounds of Formula 1 are especially suitable for use as sole or adjunctive treatment for ADHD and modification of symptoms associated with ADHD.</p>']"
29,US10202347B2,"Compound, production method therefor, and use of said compound",utility,"['<p id=""p-0058"" num=""0060"">According to the present invention, it is possible to achieve the above object and provide a novel compound having excellent anti-cancer effects or excellent anti-<i>Helicobacter pylori </i>activity, a method for producing the novel compound, a compound-containing composition, anti-cancer agent, and anti-<i>Helicobacter pylori </i>agent utilizing the novel compound.</p>']"
30,US10202469B2,"Sugar chain-attached linker, compound containing sugar chain-attached linker and physiologically active substance or salt thereof, and method for producing same",utility,"['<p id=""p-0095"" num=""0093"">The glycosylated linker according to the present invention has a sugar chain structural moiety having many hydroxy groups and high polarity and can therefore improve the water solubility of a physiologically active substance by binding to the physiologically active substance.</p>', '<p id=""p-0096"" num=""0094"">Moreover, the glycosylated linker according to the present invention can release the physiologically active substance bonded to the glycosylated linker under particular conditions (e.g., in vivo) independent of light or enzymatic cleavage.</p>', '<p id=""p-0097"" num=""0095"">The compound comprising a glycosylated linker moiety and a physiologically active substance moiety according to the present invention or the salt thereof has water solubility.</p>', '<p id=""p-0098"" num=""0096"">The sugar chain in the glycosylated linker moiety according to the present invention is advantageous because of having biodegradable properties.</p>', '<p id=""p-0099"" num=""0097"">The sugar chain in the glycosylated linker moiety according to the present invention is also advantageous to reduction in the antigenicity of a physiologically active substance.</p>']"
31,US10202470B2,Polymerizable composition and optically anisotropic body using same,utility,"['<p id=""p-0017"" num=""0016"">The polymerizable composition of the present invention uses the fluorosurfactant (III) simultaneously with the polymerizable compound having a specific structure with one polymerizable group or two or more polymerizable groups and showing reverse wavelength dispersion. This allows the polymerizable composition obtained to have excellent solubility and excellent storage stability and also allows provision of polymers, optically anisotropic bodies, retardation films, etc. that are excellent in coating film surface leveling properties, cause less offset from liquid crystal coating film surfaces, and have good productivity.</p>']"
32,US10202493B2,"Polyamide-imide resin, and curable resin composition and cured product of same",utility,"['<p id=""p-0013"" num=""0012"">According to the present invention, it is possible to provide a curable resin composition, which contains a polyamide-imide resin soluble in a general-purpose solvent, has excellent storage stability and long usable life even when combined with a curable resin, and can manufacture a cured product (cured film) having excellent transparency, and a cured product thereof.</p>']"
33,US10202511B2,"Hydrophilic coating film, method for producing same, humidification element, and humidification device",utility,"['<p id=""p-0015"" num=""0014"">The present invention provides a hydrophilic coating film that excels not only in initial humidification performance, but also in long-term humidification performance as well as provides a humidifier using the same and a production method for the hydrophilic coating film and a humidification element.</p>']"
34,US10202530B2,"Composition for heat-dissipation members, heat-dissipation member, electronic device, and method of producing heat dissipating member",utility,"['<p id=""p-0048"" num=""0047"">The heat dissipating member formed of the composition for a heat dissipating member of the present invention has extremely high thermal conductivity and a thermal expansion coefficient which can be controlled. Additionally, characteristics such as excellent chemical stability, heat resistance, hardness and mechanical strength are also provided. The heat dissipating member is appropriate for, for example, a heat dissipation substrate, a heat sink (a planar heat sink), a heat dissipation sheet, a heat dissipation coating film, and a heat dissipation adhesive.</p>']"
35,US10202547B2,Adjustment component and light-emitting device,utility,"['<p id=""p-0013"" num=""0012"">The light-emitting device using the adjustment member of the invention offers consistent light emission characteristics while suppressing a lowering of emission efficiency and preventing the variation of emission color which is caused by the differential dispersion of red phosphor particles that inevitably occurs in the prior art. By changing the size and phosphor content of the adjustment member, the chromaticity and color rendering performance of the light-emitting device can be readily adjusted.</p>', '<p id=""p-0014"" num=""0013"">In the light-emitting device of the invention, the adjustment member need not be disposed on the optical axis of the light source as long as light of wavelength 420 nm to 490 nm is incident on the adjustment member. For example, it may be disposed in proximity to a reflector or lamp shade. It causes a minimal decline of emission efficiency.</p>']"
36,US10202553B2,"Hydroprocessing catalyst for heavy hydrocarbon oil, method for manufacturing hydroprocessing catalyst for heavy hydrocarbon oil, and hydroprocessing method for heavy hydrocarbon oil",utility,"['<p id=""p-0033"" num=""0032"">In the hydroprocessing catalyst according to the present invention, a hydrogenation-active component is supported on a phosphorus-silica-containing alumina carrier respectively containing specific amounts of phosphorus and silica, and the desulfurization activity for heavy hydrocarbon oil is excellent. Further, by carrying out hydrogenation using the hydroprocessing catalyst, a heavy hydrocarbon oil that does not easily produce sediment and has excellent storage stability can be obtained.</p>']"
37,US10202609B2,Microorganisms producing L-amino acids and process for producing L-amino acids using the same,utility,"['<p id=""p-0029"" num=""0028"">According to an aspect, a microorganism having removed or decreased activity of at least one protein selected from the group consisting of an NfrA protein, an NfrB protein, a Tsx protein, and an FhuA protein may be used to produce an L-amino acid.</p>', '<p id=""p-0030"" num=""0029"">According to another aspect, a method of producing an L-amino acid may be used to produce an L-amino acid in an efficient manner.</p>']"
38,US10202644B2,"Method and device for identifying nucleotide, and method and device for determining nucleotide sequence of polynucleotide",utility,"['<p id=""p-0036"" num=""0035"">The present invention enables a nucleotide to be identified directly and rapidly without marking. The present invention also enables the nucleotide sequence of a polynucleotide to be determined directly and rapidly without marking.</p>']"
39,US10202676B2,Method for producing hot-dip Zn alloy-plated steel sheet,utility,"['<p id=""p-0018"" num=""0017"">According to the present invention, a hot-dip Zn alloy-plated steel sheet having excellent blackening resistance can be easily produced with high productivity.</p>']"
40,US10202698B2,Device for manufacturing organic hydride,utility,"['<p id=""p-0013"" num=""0012"">According to the present invention, an oxygen gas is prevented from remaining on an anode catalyst of the device for producing an organic hydride.</p>']"
41,US10202706B2,Silicon carbide single crystal wafer and method of manufacturing a silicon carbide single crystal ingot,utility,"['<p id=""p-0028"" num=""0041"">The SiC single crystal wafer according to one embodiment of the present invention is low in dislocation density and small in elastic strain as well, and accordingly brings about high yield and favorable device characteristics in device manufacture in the power electronics field and other fields. For instance, the SiC single crystal wafer according to one embodiment of the present invention makes correct focusing in the lithography process and high-quality step flow growth in the epitaxial growth process possible. In addition, the low dislocation density reduces structural defects in a device and contributes to improvement in the performance and yield of the device. The present invention realizes a SiC single crystal wafer having this quality at as large a wafer diameter as 100 mm or more, and the practicality of the wafer is therefore supremely high.</p>']"
42,US10202709B2,Method for manufacturing silicon carbide single crystal,utility,"['<p id=""p-0007"" num=""0006"">According to the configuration above, there can be provided a silicon carbide single crystal in which a different polytype is suppressed from being mixed.</p>']"
43,US10202895B2,"Control device of a vehicle, vehicle including control device, and control method of vehicle",utility,"['<p id=""p-0014"" num=""0013"">According to the present invention, the operation of the internal combustion engine during vehicle running can be controlled appropriately at a vehicle that uses the internal combustion engine for power generation and for vehicle running.</p>']"
44,US10202925B2,Internal combustion engine controller,utility,"['<p id=""p-0009"" num=""0008"">According to the present invention, regardless of fluctuations of a battery power supply voltage, changes in characteristics of step-up circuit elements caused by degradation over time, and constant modifications, the step-up current value of the step-up circuit can be controlled within set current threshold values, and heat generation of the step-up circuit elements can be suppressed to a minimum level. Moreover, regardless of the slope of the step-up current value, the step-up recovery time can be constantly adjusted.</p>']"
45,US10202980B2,Centrifugal compressor apparatus and method for preventing surge therein,utility,"['<p id=""p-0052"" num=""0051"">When the centrifugal compressor is in a surging state, the compressor does not work. Accordingly, at the same time of surging, the shaft power of the compressor is reduced, so that the surging state can be observed as the change of the drive current of the electric motor.</p>', '<p id=""p-0053"" num=""0052"">The drive current is not constant since the drive current changes in accordance with the operating state of the compressor. However, a statistical technique in which the number of samples included in 3σ (which is three times as large as the calculated standard deviation) corresponds to 99% or more in regard to the distribution and a standard deviation of samples is applied, so that the amount of fluctuation in the drive current can be estimated by the calculation of a standard deviation.</p>', '<p id=""p-0054"" num=""0053"">The present invention is based on such knowledge.</p>', '<p id=""p-0055"" num=""0054"">That is, according to the above-mentioned device and method of the present invention, the surge prevention control device (B) updates, in real time, as the current threshold a value, “(moving average)−n×(standard deviation)” for which a plurality of drive currents measured in the sampling period serves as a population, wherein the number “n” is a positive number in the range of 3 to 4, and (C) determines that surging has occurred when the exhaust valve is closed and the drive current is below the current threshold. Thereby, it is possible to reliably detect a surging phenomenon without being affected by the fluctuation (variation) in the drive current.</p>', '<p id=""p-0056"" num=""0055"">Further, it is confirmed in the embodied example that detection delay from the occurrence of surging to the detection of surging in this determining means is within 1 sec (for example, about 0.1 sec) in the embodied example. It is confirmed in the embodied example that vibration, pressure variation, and a noise can be avoided by (D) opening the exhaust valve to discharge the compressed gas when it is determined that surging has occurred.</p>', '<p id=""p-0057"" num=""0056"">Accordingly, unlike the related art, a large surge margin does not need to be set, so that (2) it is possible to significantly widen the capacity control range of the centrifugal compressor by setting a small surge margin.</p>', '<p id=""p-0058"" num=""0057"">Further, even though surging occurs, it is possible to stably operate the compressor by avoiding vibration, pressure variation, and a noise. Accordingly, it is possible to acquire the operating conditions of the compressor at the time of the occurrence of surging as data by making surging occur, and (3) it is possible to automatically update a surge line so as to follow the variation of operation characteristics caused by operating environment or secular change.</p>']"
46,US10202986B2,Hydraulic drive system,utility,"['<p id=""p-0026"" num=""0025"">In accordance with the present invention, the responsivity of the steering actuator to the operation amount of the steering device can be changed based on the state of the vehicle.</p>', '<p id=""p-0027"" num=""0026"">The above and further objects, features and advantages of the present invention will more fully be apparent from the following detailed description of preferred embodiments with reference to the accompanying drawings.</p>']"
