,publication_number,patent_title,appl_type,positive_text
10,US10166598B2,"Precision-casting core, precision-casting core manufacturing method, and precision-casting mold",utility,"['<p id=""p-0024"" num=""0023"">Since the invention has a configuration in which the coating layer of two kinds of silica materials having different particle diameters is formed on the surface of the sintered, precision-casting core body, the holes formed in the surface thereof during sintering are sealed. Accordingly, there is an effect that the breakage of the core is prevented during casting in that the strength of the core is improved and the holes are sealed.</p>']"
11,US10166621B2,Welding device and welding system,utility,"['<p id=""p-0020"" num=""0019"">In accordance with the present invention, the welding torch can be moved in the radial direction of the tubes, and the width of the rotary member that is rotatable around the center axis of the tubes can be reduced.</p>']"
12,US10166628B2,"Three-dimensional shaping apparatus, control method thereof, and control program",utility,"['<p id=""p-0021"" num=""0020"">The present invention makes it possible for the electron beam to perform scans at a higher speed even in the regions where powder is melted.</p>']"
13,US10166631B2,Laser processing head apparatus with camera monitor,utility,"['<p id=""p-0014"" num=""0013"">According to the laser processing head apparatus with a camera monitor, the state of the processing point and the peripheral area thereof is imaged using an infrared laser beam generated from the light source for illumination which includes a near-infrared laser diode, and entry of the processing point-emitted light and the processing point-reflected laser beam directed to the camera is blocked by the optical filter, hence the state of the processing point and the peripheral area thereof can be imaged at low cost and with less influence of halation.</p>', '<p id=""p-0015"" num=""0014"">Further, the imaging optical system and the illumination optical system are disposed on the opposite side of the laser beam reflection mirror to the condensing lens, and are not disposed between the condensing lens and the processing material, hence the laser processing head apparatus becomes compact, and contamination of the imaging optical system and the illumination optical system, caused by sputtering and the like, can be prevented.</p>']"
14,US10166679B2,Movement assistance device,utility,"['<p id=""p-0037"" num=""0036"">The movement assistance device according to an aspect of the present invention is capable of assisting a movement of a wearer while maintaining the degree of freedom of the movement.</p>']"
15,US10166685B2,Output device and output system,utility,"['<p id=""p-0019"" num=""0018"">In the present invention, it is possible to move an operating rod with a small force to actuate an output rod.</p>']"
16,US10166763B2,"Printing apparatus, printing method and storage medium",utility,"['<p id=""p-0016"" num=""0015"">With the present invention, in regard to dots that will be printed with ink having the highest density, displacement on the print medium in a direction corresponding to the printing element array direction due to time-divisional driving can be suppressed, so it is possible to improve quality of the edges of an image. On the other hand, in regard to dots of other ink, the dots are dispersed and arranged by displacing each of the dots on the print medium by a displacement amount in a direction that corresponds to the printing element array direction. Therefore, it is possible to achieve both an improvement of quality of the edges of an image, and maintain uniformity of an image with respect to the occurrence of inclination error between print heads.</p>', '<p id=""p-0017"" num=""0016"">Further features of the present invention will become apparent from the following description of exemplary embodiments (with reference to the attached drawings).</p>']"
17,US10166816B2,Sound source device of horn,utility,"['<p id=""p-0018"" num=""0017"">According to the present invention, a chord can be outputted from one horn.</p>']"
18,US10166878B2,Power supply apparatus of vehicle,utility,"['<p id=""p-0018"" num=""0017"">In accordance with the present invention, an effect of reducing a loss by the intermittent voltage step-up control can be ensured and an electric power loss of the converter can be reduced.</p>']"
19,US10166891B2,Vehicular seat,utility,"['<p id=""p-0025"" num=""0024"">With the vehicular seat according to the present invention, there are significantly fewer components and cost is lower than in cases such as the vehicular seat disclosed in Patent Citation 1, which uses fastening means composed of screws, nuts, brackets, a hard plate, and the like.</p>', '<p id=""p-0026"" num=""0025"">Because the second surface skin connected to the base is formed from a soft material such as an elastomer, the surface skin is more easily handled, and as a result, the surface skin is more easily assembled on the base than in cases in which the second surface skin is formed from a common material for surface skins such as hide, leather, or the like.</p>']"
20,US10166893B2,Seat pad,utility,"['<p id=""p-0008"" num=""0007"">By a seat pad according to a first aspect, the body of a sitting person is supported so as to be wrapped in the first layer, the second layer, the third layer, the fourth layer, and the fifth layer. Therefore, the seat pad has the effect of reducing a sense of wobble. Since the midportion of the seat pad that is a portion other than the front surface and the underside surface is set at a density of 45 to 55 kg/m3, the seat pad can be reduced in weight. Therefore, the seat pad can be reduced in weight while reducing the sense of wobble.</p>', '<p id=""p-0009"" num=""0008"">In the seat pad according a second aspect, the ratio of the hardness of the fifth layer to the hardness of the fourth layer is larger than the ratio of the hardness of the fourth layer to the hardness of the first layer, so that a supporting force derived from the fifth layer can be secured. Therefore, in addition to the effects of the first aspect, a sense of wobble and a sense of bottom touch can be reduced.</p>', '<p id=""p-0010"" num=""0009"">In the seat pad according to a third aspect, the second layer has a larger hardness than the first layer. Therefore, in addition to the effects of the first aspect, the softness when the body is pressed against the first layer and the holdability derived from the layers ranging from the second layer to the fifth layer can be improved.</p>', '<p id=""p-0011"" num=""0010"">In the seat pad according to a fourth aspect, the ratio of the hardness of the fifth layer to the hardness of the first layer is set at 1.2 or more. Therefore, in addition to the effects of the first aspect, the fifth layer can prevent the body of a sitting person from excessively sinking down.</p>', '<p id=""p-0012"" num=""0011"">In the seat pad according to a fifth aspect, a tensile modulus meaning the slope in an interval from a strain of 1.0 to a strain of 1.5 of a stress-strain curve determined by a tensile test conforming to the JIS K6400-5 (2012) is 150 kPa or less. Thus, the horizontal tensile stress on the front surface of the seat pad can be reduced, so that the angle of inclination of a sitting person\'s body to the vertical direction due to the input of vibrations can be reduced. Therefore, in addition to the effects of the first aspect, the seat pad can further reduce the sense of wobble that the sitting person feels.</p>']"
21,US10166911B2,Illumination device and vehicle,utility,"['<p id=""p-0024"" num=""0042"">According to the present invention, it is possible to change an illumination mode in an illumination zone using a coherent light beam.</p>']"
22,US10166936B2,Damping material,utility,"['<p id=""p-0012"" num=""0011"">A damping material in accordance with an embodiment of the present invention, advantageously, can yield a damping effect by use of a simple configuration and also can be attached at low cost to various vibration-suppression-target members by a simple operation.</p>']"
23,US10166977B2,Control apparatus for vehicle-mounted apparatus and power steering apparatus,utility,"['<p id=""p-0011"" num=""0010"">Therefore, it is possible to improve the steering feeling when providing the steering assist torque based on the substitute signal for the torque sensor with use of the detection value of the steering angle sensor and the detection value of the motor rotational angle sensor.</p>']"
24,US10166981B2,"Traveling control device, on-vehicle display device, and traveling control system",utility,"['<p id=""p-0010"" num=""0009"">According to the invention, it is possible to reduce discomfort or uneasiness felt by a driver or an occupant in automatic traveling control of a vehicle.</p>']"
25,US10166997B2,"Vehicle control device, vehicle control method, and program",utility,"['<p id=""p-0017"" num=""0016"">According to an aspect of the present disclosure, an emergency stop of a running vehicle is more safely assisted.</p>']"
26,US10167012B2,Electric power steering device,utility,"['<p id=""p-0009"" num=""0008"">According to the invention, a steering wheel can be operated in the same way at an abnormal time as at a normal time. Also, by two control units being mounted coaxially with respect to a motor output shaft, an electric power steering device can be reduced in size.</p>']"
27,US10167024B2,"Panel member, press mold, and manufacturing method of panel member",utility,"['<p id=""p-0022"" num=""0021"">As explained above, the panel member according to the first aspect of the present invention includes an excellent advantageous effect of enabling bending rigidity with respect to load in the wavelength direction of the waved plate section to be improved.</p>', '<p id=""p-0023"" num=""0022"">The panel member according to the second aspect of the present invention includes an excellent advantageous effect of enabling bending rigidity with respect to load in the wavelength direction of the waved plate section to be further improved.</p>', '<p id=""p-0024"" num=""0023"">The panel member according to the third aspect of the present invention includes an excellent advantageous effect of enabling load to be well transmitted in cases in which load is transmitted from one side toward the other side in the wave height direction of the waved plate section, while suppressing localized weakening of the second wall portions.</p>', '<p id=""p-0025"" num=""0024"">The panel member according to the fourth aspect of the present invention includes an excellent advantageous effect of enabling bending rigidity of the bent portions with respect to load in the wavelength direction of the waved plate section to be improved due to the array of the reinforcing fibers, while suppressing localized weakening of the first wall portions.</p>', '<p id=""p-0026"" num=""0025"">The panel member according to the fifth aspect of the present invention includes an excellent advantageous effect of enabling inward flexing of the bent portions that connect the first wall portions and the second wall portions to be suppressed.</p>', '<p id=""p-0027"" num=""0026"">The press mold according to the sixth aspect of the present invention includes an excellent advantageous effect of enabling bending rigidity with respect to load in the wavelength direction of the waved plate section to be improved.</p>', '<p id=""p-0028"" num=""0027"">The manufacturing method of a panel member according to the seventh aspect of the present invention includes an excellent advantageous effect of enabling bending rigidity with respect to load in the wavelength direction of the waved plate section to be improved.</p>']"
28,US10167127B2,Cylindrical bottle with bottom,utility,"['<p id=""p-0015"" num=""0014"">According to the invention, the pressure reduction-absorbing performance within the bottle can be improved.</p>']"
29,US10167162B2,Medium storage device and medium transaction device,utility,"['<p id=""p-0015"" num=""0014"">The present invention enables the realization of a medium storage device and a medium transaction device in which the size of a space that stores a medium is able to be easily and precisely adjusted.</p>']"
30,US10167197B2,Method for producing zirconium tungsten phosphate,utility,"['<p id=""p-0013"" num=""0013"">According to the present invention, zirconium tungsten phosphate that is useful as a negative thermal expansion material and exhibits a single phase in X-ray diffraction can be obtained by an industrially advantageous method.</p>']"
31,US10167198B2,"Method for producing flake graphite, and flake graphite",utility,"['<p id=""p-0038"" num=""0037"">In the method for producing exfoliated graphite according to the present invention, a polymer in a composition having a structure in which a polymer is fixed to graphite or primary exfoliated graphite is pyrolyzed, and therefore, exfoliated graphite having a large specific surface area can be easily provided. This is considered to be because in the pyrolysis of the polymer, stress during the polymer pyrolysis acts on the place where the polymer is immobilized on the graphite or primary exfoliated graphite, and the exfoliation between graphenes is efficiently performed. In addition, in the exfoliated graphite obtained by the production method of the present invention, not only is the interlayer distance between graphenes increased and is the specific surface area increased, but the central portion has a graphite structure and the edge portion has an exfoliated structure, and therefore, the exfoliated graphite is more easily handled than flake alloys obtained by conventional production methods.</p>']"
32,US10167269B2,"Cockroach attraction-aggregation substance, cockroach aggregation attractant and cockroach controlling agent",utility,"['<p id=""p-0021"" num=""0044"">The present invention provides a cockroach attraction-aggregation substance with excellent cockroach attraction-aggregation effect. The cockroach attraction-aggregation substance is used to provide a cockroach aggregation attractant and a cockroach controlling agent with high cockroach-attracting effect.</p>']"
33,US10167316B2,Anti-cancer peptide and use thereof,utility,"['<p id=""p-0043"" num=""0042"">According to the present invention, cancer can be effectively treated or prevented.</p>']"
34,US10167438B2,"Compressor for refrigeration and air conditioning, and refrigeration and air conditioning device",utility,"['<p id=""p-0017"" num=""0016"">According to the present invention, a compressor for refrigeration and air conditioning and a refrigeration and air conditioning device capable of achieving both favorable environmental performance and favorable efficiency can be provided.</p>']"
35,US10167453B2,"Saccharide oxidase, and production method for same and use of same",utility,"['<p id=""p-0088"" num=""0087"">Since the protein according to the present invention acts on a wide range of saccharides and also has an appropriate thermostability, it can allow the saccharide oxidase effect to function in a wide range of the fields where existing glucose oxidases or oligosaccharide oxidases could not be useful.</p>']"
36,US10167495B2,Microbe quantifying apparatus and microbe quantifying method,utility,"['<p id=""p-0013"" num=""0012"">The present invention can provide a microbe quantifying apparatus and a microbe quantifying method that quantify microbes in a fluid specimen with a biological material contained in the microbes as an index and have a better sensitivity for measurement of the microbes than ever before.</p>']"
37,US10167538B2,Steel pipe,utility,"['<p id=""p-0040"" num=""0039"">According to the invention, a steel pipe having excellent internal pressure fatigue resistance properties can be provided.</p>']"
38,US10167539B2,Hot-rolled steel sheet and method for producing same,utility,"['<p id=""p-0040"" num=""0043"">According to the above aspects of the present invention, it is possible to obtain a hot-rolled steel sheet which has the high-strength, the excellent uniform deformability, the excellent local deformability, and the small anisotropy even when the element such as Nb or Ti is added.</p>']"
39,US10167542B2,Method for producing hot-dip Zn alloy-plated steel sheet,utility,"['<p id=""p-0018"" num=""0018"">According to the present invention, a hot-dip Zn alloy-plated steel sheet having excellent blackening resistance can be easily produced with high productivity.</p>']"
40,US10167543B2,Method for manufacturing optical fiber preform,utility,"['<p id=""p-0013"" num=""0014"">The present invention makes it possible to manufacture an optical fiber preform while preventing organosilicon from liquefying prior to a reaction by which SiO<sub>2 </sub>soot is produced, so as to improve safety and stability of the reaction.</p>']"
41,US10167566B2,"Substrate for light emitting device, light emitting device, and method for manufacturing substrate for light emitting device",utility,"['<p id=""p-0020"" num=""0019"">According to the above-described configuration, the surface of the base formed of aluminum other than the surface on which the reflecting layer is formed is covered with the aluminum anodic oxide film. For this reason, it is possible to protect the base from the plating solution or the like in the manufacturing process of the substrate by the aluminum anodic oxide film. Furthermore, because the above-described coating film does not impair the important functions of the light emitting device, that is, high heat dissipation and long-term reliability, it is not necessary to peel the above-described coating film from the substrate. Accordingly, by allowing the coating film to remain, it is possible to protect the substrate or the device after manufacturing. In other words, the above-described coating film can be used as both a process protection film and a device protection film. In addition, since it is possible to form the coating film by performing anodic oxidation treatment, mass productivity becomes excellent.</p>', '<p id=""p-0021"" num=""0020"">As described above, according to the above-described configuration, it is possible to provide a substrate for a light emitting device which has a function of protecting the base, and is excellent in mass productivity without deterioration of the functions required as a light emitting device.</p>']"
42,US10167569B2,Hexagonal diamond bulk sintered body and its manufacturing method,utility,"['<p id=""p-0015"" num=""0018"">Hexagonal diamond is thermodynamically metastable. The conventional methods can provide hexagonal diamond only as a mixture with unreacted starting material (graphite) and thermodynamically stable cubic diamond (Patent Literature 3 and Non Patent Literature 3). The present invention provides a millimetre-sized pure hexagonal diamond compact by high pressure and high temperature using graphite with significantly high crystallinity and ordering (preferred orientation) as the starting material at pressures higher than those of the conventional technique (at least 21 GPa; preferably more than 22 GPa).</p>', '<p id=""p-0016"" num=""0019"">The obtained pure hexagonal diamond compact has a density equivalent to the theoretical value, suggesting that it contains virtually no pores (voids). It consists of lamellar crystals with a thickness ranging from several to several tens of nanometers. The nanoscale lamellar textures formed by the alternating stacking of layered crystals in which the (100) plane of hexagonal diamond is exclusively oriented in the stacking direction, while no particular preferred orientations are found in the orthogonal direction. As shown later in a high-resolution TEM image, each layer is strongly bonded to each other in an atomic level. The anisotropy of hardness is expected to be reduced due to such a complex, alternating stacking of nano-layered crystals. Therefore, it is also expected that the present hexagonal diamond compact possesses superior hardness and toughness than single crystal hexagonal diamond as with the case of nano-polycrystalline diamond (Patent Literature 1).</p>', '<p id=""p-0017"" num=""0020"">As long as adequate pressure and temperature conditions are provided to the sample chamber, a pure hexagonal diamond compact can be obtained in any desired size. Currently available pure hexagonal diamond compact obtained by the present method is 1 to 2 mm size, which is large enough to use as a superhard tool tip can be manufactured. With the use of the pure hexagonal diamond compact obtained by the present invention direct measurements of the physical properties such as hardness, elasticity, thermal conductivity, etc. of hexagonal diamond may be achieved, which could open up new fields of industrial application of this material.</p>']"
43,US10167610B2,Construction machine,utility,"['<p id=""p-0010"" num=""0009"">According to the present invention, it is possible to provide a construction machine in which a reducing agent hose is less likely to be influenced by heat, and wiring of the reducing agent hose can be performed by effectively utilizing a limited space on an upperstructure including an engine room. A problem, a configuration, and an effect other than the above will be apparent from the description of the following embodiment.</p>']"
44,US10167611B2,Hydraulic excavator drive system,utility,"['<p id=""p-0017"" num=""0016"">The present invention makes it possible to suppress wasteful energy consumption while preventing the occurrence of cavitation at the head side of the arm cylinder or bucket cylinder and preventing temporary stopping of the swinging of the arm or bucket.</p>']"
45,US10167613B2,Hydraulic drive system of construction machine,utility,"['<p id=""p-0019"" num=""0018"">The present invention makes it possible to regenerate energy while controlling electric power transmission from the alternator to the electrical storage device.</p>']"
46,US10167728B2,"Seal member, turbine, and gas turbine",utility,"['<p id=""p-0028"" num=""0027"">According to the seal member, the turbine, and the gas turbine according to the aspects of the present invention, the inflow of the combustion gas from the first gap between the inner shrouds can be suppressed by the seal member, and the burning of the components can be prevented.</p>']"
47,US10167745B2,Variable valve mechanism of internal combustion engine,utility,"['<p id=""p-0014"" num=""0013"">According to the present invention, the through-hole through which the extending portion of the lost motion spring passes is formed such that the connecting portions are provided at the vertically opposite sides thereof. Thus, compared with the structures (Patent Document 1, etc.) in each of which the outer arm materials are connected only in an upper area or only in a lower area, high strength of the outer arm can be obtained.</p>', '<p id=""p-0015"" num=""0014"">The through-hole is formed such that the portion of the extending portion, the swinging amount of which is smaller than that of the contact portion, passes therethrough. Accordingly, a sufficiently large swinging amount can be obtained at the contact portion without significantly increasing the length of the through-hole in the spring swinging direction (swinging direction of the extending portion). Thus, it is possible to obtain a sufficiently large swinging amount of the inner arm while achieving a sufficiently high strength of the outer arm.</p>']"
48,US10167749B2,Variable valve mechanism of internal combustion engine,utility,"['<p id=""p-0015"" num=""0014"">According to the present invention, the second arm of the variable arm extends from the support shaft disposed in the above-described position such that the distal end portion thereof protrudes in between the cam and the roller, and thus the second arm extends so as to surround the camshaft. Accordingly, a portion of the second arm that protrudes in between the cam and the roller is small. Thus, when the variable valve mechanism of the present invention is installed instead of a valve mechanism (e.g., the conventional example 1) including no variable arm interposed between the cam and the roller, the second arm can be installed without forming such a large space therebetween. Consequently, the position change of the camshaft can be minimized. In particular, when the second arm can be interposed simply in a space that can be formed by changing the shape of the roller arm, for example, the position change of the camshaft is not necessary.</p>', '<p id=""p-0016"" num=""0015"">Because the second arm of the variable arm is pivotally supported by the support shaft, unlike the conventional example 2, the variable arm does not have to be surrounded and supported from three directions in a well-balanced manner by three members of the cam, the roller arm, and the variable device. This increases the flexibility in arrangement of these three members.</p>', '<p id=""p-0017"" num=""0016"">Furthermore, when the preferable form (one cam drives only one valve) described above is used, neither the variable arm nor the roller arm extends over two or more valves. Thus, even in the case of a bore-center journal bearing in which each journal bearing is disposed between the corresponding valves, the variable valve mechanism of the present invention can be installed without a problem.</p>']"
49,US10167760B2,Control system of internal combustion engine,utility,"['<p id=""p-0022"" num=""0021"">According to the present invention, the amount of storage of the sulfur ingredients of the exhaust purification catalyst can be kept low.</p>']"
50,US10167855B2,Piston included in liquid-pressure rotating device and liquid-pressure rotating device,utility,"['<p id=""p-0036"" num=""0035"">According to the piston of the present invention, the weight of the piston can be reduced by providing the hollow portion. In addition, since the operating liquid is prevented from flowing into the hollow portion, an energy conversion efficiency and maximum rotating speed of the liquid-pressure rotating device in which the piston is provided and which is used as a pump or a motor can be improved. Further, since the piston includes the stress reducing portion, the strength of the piston can be increased, so that the life of the piston can be extended.</p>', '<p id=""p-0037"" num=""0036"">The above object, other objects, features, and advantages of the present invention will be made clear by the following detailed explanation of preferred embodiments with reference to the attached drawings.</p>']"
51,US10167860B2,Hermetic compressor and refrigeration apparatus,utility,"['<p id=""p-0018"" num=""0017"">The above-described configuration according to the present invention provides an advantage of making it possible to readily manufacture the valve plate and provide a hermetic compressor with higher efficiency.</p>']"
52,US10167899B2,"Sintered bearing, fluid dynamic bearing device provided with same, and sintered bearing manufacturing method",utility,"['<p id=""p-0018"" num=""0017"">As described above, according to the present invention, the amount of spring back of the sintered bearing can be increased. As a result, the radial difference in the radial dynamic pressure generating portion die-formed in the inner peripheral surface of the sintered bearing can be increased. Along with this, the radial bearing gap is increased, thereby being capable of avoiding torque increase and contact between the sintered bearing and the shaft member. Further, the inner layer is made of a material that is likely to be plastically deformed. Thus, the radial dynamic pressure generating portion can be reliably formed in the inner layer, thereby being capable of increasing bearing rigidity.</p>']"
