Unnamed: 0,filename,total_publications,total_positive_samples,total_negative_samples,total_neutral_samples
9,ipg150310,5510,106,162,110
10,ipg150317,7013,147,234,167
11,ipg150324,6816,86,142,102
12,ipg150331,6805,143,210,158
13,ipg150407,6816,135,186,144
14,ipg150414,6888,115,191,136
15,ipg150421,6590,124,181,131
16,ipg150428,6347,110,170,126
17,ipg150505,6255,129,192,152
18,ipg150512,5983,124,206,149
19,ipg150519,6166,112,178,132
20,ipg150526,6353,114,171,127
21,ipg150602,6374,116,181,147
22,ipg150609,6461,117,171,120
23,ipg150616,5268,86,121,88
24,ipg150623,6520,111,177,131
25,ipg150630,6335,103,167,115
26,ipg150707,6761,143,215,161
27,ipg150714,6613,124,204,156
28,ipg150721,5008,92,133,99
29,ipg150728,6517,119,166,131
30,ipg150804,6526,101,176,106
31,ipg150811,6750,139,190,154
32,ipg150818,6745,151,219,177
33,ipg150825,6259,118,177,136
34,ipg150901,6509,127,175,139
35,ipg150908,6820,141,208,159
36,ipg150915,6808,125,208,154
37,ipg150922,6788,122,179,129
38,ipg150929,5167,81,124,102
39,ipg151006,6776,137,208,153
40,ipg151013,6774,126,182,134
41,ipg151020,6774,127,181,137
42,ipg151027,6115,111,153,122
43,ipg151103,6763,132,198,152
44,ipg151110,6762,147,229,171
45,ipg151117,6774,128,192,144
46,ipg151124,6797,116,187,134
47,ipg151201,6771,143,221,160
48,ipg151208,6740,124,190,140
49,ipg151215,5539,115,170,119
50,ipg151222,4609,83,119,89
51,ipg151229,6764,124,189,144
0,ipg140107,6214,64,107,73
1,ipg140114,4402,35,62,45
2,ipg140121,4657,35,71,41
3,ipg140128,4950,38,66,38
4,ipg140204,6334,59,87,59
5,ipg140211,4960,75,107,78
6,ipg140218,6336,99,170,117
7,ipg140225,5556,70,124,84
8,ipg140304,6405,71,121,87
9,ipg140311,4109,38,81,53
10,ipg140318,6398,95,156,100
11,ipg140325,6392,69,119,76
12,ipg140401,6077,85,135,95
13,ipg140408,6154,67,124,79
14,ipg140415,6602,105,162,120
15,ipg140422,6745,101,149,111
16,ipg140429,6739,68,129,87
17,ipg140506,6745,85,126,85
18,ipg140513,6964,81,127,96
19,ipg140520,7057,126,172,126
20,ipg140527,6953,110,161,116
21,ipg140603,6962,121,180,130
22,ipg140610,6941,82,131,96
23,ipg140617,4905,50,86,60
24,ipg140624,6936,83,131,86
25,ipg140701,7065,72,147,91
26,ipg140708,6976,91,168,110
27,ipg140715,6996,103,168,121
28,ipg140722,6826,97,146,111
29,ipg140729,4999,83,107,84
30,ipg140805,6750,90,138,102
31,ipg140812,7109,93,142,107
32,ipg140819,7142,102,181,123
33,ipg140826,7101,107,174,117
34,ipg140902,7080,118,179,130
35,ipg140909,6896,109,171,124
36,ipg140916,7092,96,147,106
37,ipg140923,5020,67,104,78
38,ipg140930,7041,118,190,141
39,ipg141007,6844,90,157,98
40,ipg141014,6829,89,147,101
41,ipg141021,6499,109,161,112
42,ipg141028,6500,94,148,113
43,ipg141104,6489,116,167,127
44,ipg141111,6494,105,174,126
45,ipg141118,6488,96,159,105
46,ipg141125,6009,88,144,106
47,ipg141202,6173,111,151,121
48,ipg141209,6144,99,150,105
49,ipg141216,4990,76,109,84
50,ipg141223,4384,69,117,79
51,ipg141230,6585,117,181,140
0,ipg130101,6082,26,72,28
1,ipg130108,6065,29,66,30
2,ipg130115,3727,15,42,15
3,ipg130122,3717,8,25,14
4,ipg130129,6055,25,71,29
5,ipg130205,6073,19,70,26
6,ipg130212,4901,14,38,15
7,ipg130219,6292,31,78,35
8,ipg130226,6254,17,54,20
9,ipg130305,6275,42,90,49
10,ipg130312,4720,27,65,31
11,ipg130319,6072,26,66,27
12,ipg130326,5648,29,76,40
13,ipg130402,5852,35,64,32
14,ipg130409,5413,23,53,23
15,ipg130416,6252,61,121,73
16,ipg130423,6062,32,69,38
17,ipg130430,5006,28,56,27
18,ipg130507,5104,36,67,39
19,ipg130514,5405,32,64,39
20,ipg130521,5417,29,70,39
21,ipg130528,5417,28,74,36
22,ipg130604,5953,28,57,30
23,ipg130611,5972,32,77,39
24,ipg130618,4665,31,66,35
25,ipg130625,5854,35,92,52
26,ipg130702,5681,40,83,50
27,ipg130709,5878,26,79,32
28,ipg130716,5865,39,87,45
29,ipg130723,5963,49,91,47
30,ipg130730,4017,25,59,27
31,ipg130806,6179,36,73,40
32,ipg130813,6172,53,104,59
33,ipg130820,6149,50,102,60
34,ipg130827,6157,59,101,65
35,ipg130903,6161,57,109,62
36,ipg130910,6173,56,109,63
37,ipg130917,6153,51,83,59
38,ipg130924,4924,43,93,51
39,ipg131001,5958,62,109,64
40,ipg131008,6227,58,105,63
41,ipg131015,6219,45,93,51
42,ipg131022,6180,55,115,74
43,ipg131029,6210,56,110,65
44,ipg131105,6209,77,121,84
45,ipg131112,6192,58,100,63
46,ipg131119,6246,57,99,56
47,ipg131126,6294,74,115,87
48,ipg131203,6267,68,114,71
49,ipg131210,6260,73,116,79
50,ipg131217,6253,59,117,76
51,ipg131224,3212,19,40,24
52,ipg131231,6190,49,109,55
0,ipg120103,4479,5,25,5
1,ipg120110,5292,7,35,12
2,ipg120117,4218,10,18,8
3,ipg120124,4725,3,23,6
4,ipg120131,5265,6,20,4
5,ipg120207,4302,6,26,7
6,ipg120214,5272,3,30,0
7,ipg120221,5284,7,35,9
8,ipg120228,5271,9,33,12
9,ipg120306,5333,8,37,7
10,ipg120313,4334,7,27,8
11,ipg120320,5414,5,28,5
12,ipg120327,5425,10,36,9
13,ipg120403,5623,6,33,9
14,ipg120410,5624,4,25,4
15,ipg120417,5432,5,32,4
16,ipg120424,5419,4,35,5
17,ipg120501,5520,6,37,5
18,ipg120508,5525,3,35,7
19,ipg120515,5319,8,36,10
20,ipg120522,5313,7,39,12
21,ipg120529,5726,7,42,9
22,ipg120605,5459,9,36,14
23,ipg120612,5470,6,46,8
24,ipg120619,4412,13,36,12
25,ipg120626,4912,10,38,10
26,ipg120703,5557,14,56,21
27,ipg120710,5548,9,36,11
28,ipg120717,5770,8,40,13
29,ipg120724,5537,16,44,17
30,ipg120731,4617,9,31,11
31,ipg120807,5676,5,38,11
32,ipg120814,5780,6,40,12
33,ipg120821,5766,21,52,26
34,ipg120828,5773,11,48,12
35,ipg120904,5766,11,43,15
36,ipg120911,5784,14,49,19
37,ipg120918,5782,15,47,18
38,ipg120925,4568,11,50,13
39,ipg121002,5625,16,56,16
40,ipg121009,5259,13,52,18
41,ipg121016,5670,14,51,21
42,ipg121023,5778,20,64,20
43,ipg121030,5761,20,64,22
44,ipg121106,5674,22,69,24
45,ipg121113,5517,20,51,27
46,ipg121120,4339,6,34,10
47,ipg121127,5925,15,50,19
48,ipg121204,5902,16,63,21
49,ipg121211,5913,25,65,27
50,ipg121218,3567,8,38,13
51,ipg121225,6063,16,71,25
0,ipg110104,5057,0,15,1
1,ipg110111,5069,0,17,2
2,ipg110118,3849,0,10,1
3,ipg110125,4247,1,11,1
4,ipg110201,5170,0,17,4
5,ipg110208,4234,0,13,1
6,ipg110215,5070,1,10,0
7,ipg110222,5077,1,18,1
8,ipg110301,5043,1,16,4
9,ipg110308,5132,1,18,2
10,ipg110315,4123,1,15,2
11,ipg110322,5079,0,19,0
12,ipg110329,5072,1,16,2
13,ipg110405,3935,0,7,0
14,ipg110412,5075,3,9,0
15,ipg110419,5059,1,13,1
16,ipg110426,3920,2,13,1
17,ipg110503,3924,0,25,1
18,ipg110510,4540,0,19,0
19,ipg110517,4518,0,18,1
20,ipg110524,4508,0,14,1
21,ipg110531,4542,1,15,2
22,ipg110607,4931,1,15,1
23,ipg110614,4924,0,18,0
24,ipg110621,4119,3,17,2
25,ipg110628,5020,2,17,0
26,ipg110705,4351,0,17,1
27,ipg110712,5021,1,14,1
28,ipg110719,5009,4,14,4
29,ipg110726,3427,1,15,2
30,ipg110802,5114,2,27,2
31,ipg110809,5120,0,17,0
32,ipg110816,5122,3,20,3
33,ipg110823,5119,1,25,2
34,ipg110830,5102,3,20,3
35,ipg110906,5045,3,29,5
36,ipg110913,5028,2,24,2
37,ipg110920,5023,2,12,2
38,ipg110927,3966,3,16,3
39,ipg111004,5061,4,32,3
40,ipg111011,5032,3,29,4
41,ipg111018,5075,5,24,4
42,ipg111025,5063,1,23,1
43,ipg111101,5066,3,25,3
44,ipg111108,5068,9,41,8
45,ipg111115,5244,1,23,2
46,ipg111122,5239,5,31,7
47,ipg111129,4182,2,17,3
48,ipg111206,5246,3,25,2
49,ipg111213,5251,4,24,3
50,ipg111220,3961,1,16,4
51,ipg111227,4929,4,16,5
0,ipg100105,4299,0,2,0
1,ipg100112,3652,0,4,0
2,ipg100119,3473,0,6,0
3,ipg100126,3776,0,8,0
4,ipg100202,4471,0,1,0
5,ipg100209,3685,1,3,0
6,ipg100216,4484,0,11,0
7,ipg100223,4576,0,10,0
8,ipg100302,4562,0,4,0
9,ipg100309,3960,0,6,0
10,ipg100316,4863,0,17,0
11,ipg100323,4855,0,6,0
12,ipg100330,4877,0,6,0
13,ipg100406,4770,0,4,0
14,ipg100413,4864,0,4,0
15,ipg100420,4855,0,4,0
16,ipg100427,4998,0,6,0
17,ipg100504,4956,0,11,0
18,ipg100511,5061,0,6,0
19,ipg100518,5046,0,10,0
20,ipg100525,5074,0,2,0
21,ipg100601,5061,0,9,0
22,ipg100608,5049,0,10,0
23,ipg100615,5039,0,6,0
24,ipg100622,4163,0,5,0
25,ipg100629,5093,0,15,0
26,ipg100706,5090,0,6,0
27,ipg100713,5094,0,9,0
28,ipg100720,5072,0,3,0
29,ipg100727,4134,0,3,0
30,ipg100803,5070,0,12,0
31,ipg100810,5097,0,12,0
32,ipg100817,5131,0,11,0
33,ipg100824,5120,0,10,0
34,ipg100831,5099,0,11,0
35,ipg100907,5106,0,10,1
36,ipg100914,4898,0,13,1
37,ipg100921,5047,0,11,0
38,ipg100928,3963,0,3,0
39,ipg101005,4774,0,7,1
40,ipg101012,4820,0,10,0
41,ipg101019,4699,2,17,2
42,ipg101026,4865,1,12,1
43,ipg101102,4829,1,12,2
44,ipg101109,4817,1,18,1
45,ipg101116,4965,1,16,2
46,ipg101123,4933,0,19,1
47,ipg101130,4432,1,15,2
48,ipg101207,4930,1,18,2
49,ipg101214,4913,0,13,1
50,ipg101221,3065,1,13,1
51,ipg101228,5074,1,15,1
0,ipg200107,7889,194,317,244
1,ipg200114,5970,127,214,157
2,ipg200121,6149,144,241,175
3,ipg200128,6140,155,250,182
4,ipg200204,7870,205,307,233
5,ipg200211,6126,148,254,183
6,ipg200218,7883,187,315,235
7,ipg200225,7895,178,300,223
8,ipg200303,7877,157,280,197
9,ipg200310,6130,128,218,145
10,ipg200317,7875,167,292,206
11,ipg200324,7867,162,311,218
12,ipg200331,7898,173,321,219
13,ipg200407,7880,191,324,241
14,ipg200414,7872,189,314,226
15,ipg200421,7875,185,341,236
16,ipg200428,7861,214,356,257
17,ipg200505,7879,169,298,206
18,ipg200512,7885,181,316,222
19,ipg200519,7888,187,315,224
20,ipg200526,7882,191,338,244
21,ipg200602,7881,183,297,222
22,ipg200609,7869,164,299,195
23,ipg200616,6148,130,227,154
24,ipg200623,7869,164,289,202
25,ipg200630,7858,181,323,227
26,ipg200707,7890,193,317,237
27,ipg200714,7876,185,310,229
28,ipg200721,6120,160,274,200
29,ipg200728,7859,164,304,218
30,ipg200804,7874,203,304,244
31,ipg200811,7883,160,282,204
32,ipg200818,7860,194,334,241
33,ipg200825,7889,175,326,233
34,ipg200901,7886,195,308,217
35,ipg200908,7879,155,293,200
36,ipg200915,7726,174,290,217
37,ipg200922,7032,148,250,175
38,ipg200929,6316,171,272,212
39,ipg201006,7901,185,316,226
40,ipg201013,7909,155,287,201
41,ipg201020,7902,203,337,246
42,ipg201027,7890,176,294,205
43,ipg201103,7853,164,256,184
44,ipg201110,7873,185,267,208
45,ipg201117,7901,181,300,230
46,ipg201124,7889,201,357,259
47,ipg201201,7942,181,327,219
48,ipg201208,7949,178,312,223
49,ipg201215,6410,145,256,177
50,ipg201222,5179,117,212,153
51,ipg201229,7668,157,265,195
0,ipg190101,7126,162,257,204
1,ipg190108,7161,199,317,234
2,ipg190115,4070,101,157,120
3,ipg190122,5984,116,200,147
4,ipg190129,7144,182,291,220
5,ipg190205,7136,170,271,200
6,ipg190212,5689,125,209,146
7,ipg190219,7172,155,252,184
8,ipg190226,7187,141,240,168
9,ipg190305,7164,189,272,215
10,ipg190312,5887,131,217,150
11,ipg190319,7220,171,274,193
12,ipg190326,7212,138,227,175
13,ipg190402,7286,166,272,211
14,ipg190409,7287,196,307,227
15,ipg190416,7398,157,275,210
16,ipg190423,7321,185,292,220
17,ipg190430,7470,149,259,185
18,ipg190507,7631,185,295,227
19,ipg190514,7581,150,253,186
20,ipg190521,7731,183,285,216
21,ipg190528,8061,214,337,245
22,ipg190604,8069,223,330,257
23,ipg190611,7972,171,303,219
24,ipg190618,6236,124,202,146
25,ipg190625,7999,147,257,180
26,ipg190702,8034,157,304,210
27,ipg190709,8016,182,291,214
28,ipg190716,8004,224,379,286
29,ipg190723,6239,159,239,186
30,ipg190730,6246,131,213,161
31,ipg190806,8014,194,283,215
32,ipg190813,8052,202,316,253
33,ipg190820,7890,174,299,212
34,ipg190827,8276,192,328,230
35,ipg190903,8288,205,298,228
36,ipg190910,8209,223,348,256
37,ipg190917,8159,202,329,239
38,ipg190924,6476,138,214,158
39,ipg191001,8128,175,301,218
40,ipg191008,8161,167,291,203
41,ipg191015,8521,188,308,229
42,ipg191022,7953,208,344,241
43,ipg191029,7976,192,297,218
44,ipg191105,8218,179,308,209
45,ipg191112,8179,202,348,255
46,ipg191119,8156,187,308,227
47,ipg191126,7886,162,285,193
48,ipg191203,7905,183,311,227
49,ipg191210,7901,174,285,197
50,ipg191217,6052,161,271,190
51,ipg191224,5599,159,230,181
52,ipg191231,7886,181,321,229
